N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;atomic_mass;atomic_mass_unc;delta;bind_ene_teo;Diff_bind_ene
0;15;15;30;P;-20200.856;0.065;8353.5064;0.0022;-6141.6014;0.1956;978313.490;0.069;1;8249.29623992795;104.21016007205071
-2;14;16;30;S;-14059.254;0.206;8122.7081;0.0069;-18733.8020;23.8769;984906.770;0.221;-1;8063.019267473333;59.688832526667284
-4;13;17;30;Cl;4674.548;23.876;7472.1698;0.7959;-17397;180;005018.333;25.631;1;7383.715444308595;88.454355691405
-6;12;18;30;Ar;22071;179;6866.0;6;*;;023694;192;-1;6756.6730054611035;109.32699453889654
13;22;9;31;F;56843;535;6011.0;17;25661;597;061023;574;0;5345.651636813519;665.348363186481
11;21;10;31;Ne;31181.594;266.195;6813.0902;8.5869;18935.5625;266.5617;033474.816;285.772;0;6375.674388180464;437.4158118195355
9;20;11;31;Na;12246.031;13.972;7398.6778;0.4507;15368.1833;14.3065;013146.654;15.000;0;7199.010230523217;199.66756947678368
7;19;12;31;Mg;-3122.152;3.074;7869.1886;0.0992;11828.5569;3.8009;996648.232;3.300;0;7815.659163841777;53.52943615822369
5;18;13;31;Al;-14950.709;2.236;8225.518;0.0721;7998.3286;2.2360;983949.754;2.400;0;8225.621188136143;-0.10318813614321698
3;17;14;31;Si;-22949.037;0.043;8458.2916;0.0014;1491.5071;0.0434;975363.196;0.046;0;8428.896303406316;29.39529659368418
1;16;15;31;P;-24440.54442;0.00075;8481.1677;0.0002;-5398.0130;0.2292;973761.99768;0.00080;0;8425.4845096523;55.683190347699565
-1;15;16;31;S;-19042.531;0.229;8281.8013;0.0074;-12007.9790;3.4541;979557.002;0.246;0;8215.38580687409;66.41549312590905
-3;14;17;31;Cl;-7034.552;3.447;7869.2101;0.1112;-18360;200;992448.097;3.700;0;7798.600195071686;70.60990492831388
-5;13;18;31;Ar;11325;200;7252.0;6;-22935;361;012158;215;0;7175.127674245092;76.87232575490816
-7;12;19;31;K;34260;300;6487.0;10;*;;036780;322;0;6344.968244394302;142.03175560569798
12;22;10;32;Ne;36999;503;6671.0;16;18359;504;039720;540;-1;6185.586248732736;485.41375126726416
10;21;11;32;Na;18640.152;37.260;7219.8815;1.1644;19469.0523;37.4021;020011.024;40.000;1;6922.291735841159;297.5897641588417
8;20;12;32;Mg;-828.901;3.260;7803.8411;0.1019;10270.4677;7.8787;999110.138;3.500;-1;7712.241660537835;91.59943946216481
6;19;13;32;Al;-11099.368;7.173;8100.3449;0.2241;12978.3208;7.1787;988084.338;7.700;1;8060.461275992178;39.88362400782171
4;18;14;32;Si;-24077.689;0.298;8481.469;0.0093;227.1872;0.3008;974151.538;0.320;-1;8461.925329034771;19.543670965227648
2;17;15;32;P;-24304.876;0.040;8464.1203;0.0013;1710.6608;0.0400;973907.643;0.042;1;8421.659072835037;42.46122716496393
0;16;16;32;S;-26015.53714;0.00131;8493.1301;0.0002;-12680.8313;0.5617;972071.17354;0.00141;-1;8434.637254223546;58.49284577645449
-2;15;17;32;Cl;-13334.706;0.562;8072.4058;0.0176;-11134.3536;1.8568;985684.605;0.603;1;8005.885126369726;66.52067363027436
-4;14;18;32;Ar;-2200.352;1.770;7700.0089;0.0553;-24190;400;997637.824;1.900;-1;7630.377436104157;69.6314638958429
-6;13;19;32;K;21990;400;6920.0;12;*;;023607;429;1;6813.139436596254;106.8605634037458
13;23;10;33;Ne;46130;600;6436.0;18;22350;750;049523;644;0;5870.783826739781;565.216173260219
11;22;11;33;Na;23780.113;449.912;7089.9262;13.6337;18817.2400;449.9195;025529.000;483.000;0;6762.431657789835;327.4945422101646
9;21;12;33;Mg;4962.873;2.663;7636.4382;0.0807;13460.2550;7.4767;005327.862;2.859;0;7471.177262071208;165.26093792879146
7;20;13;33;Al;-8497.382;6.986;8020.6172;0.2117;12016.9460;7.0211;990877.685;7.500;0;7997.020639583899;23.596560416101056
5;19;14;33;Si;-20514.328;0.699;8361.0596;0.0212;5823.0223;1.2947;977976.964;0.750;0;8339.961790327909;21.0978096720919
3;18;15;33;P;-26337.350;1.090;8513.8073;0.0330;248.5079;1.0900;971725.692;1.170;0;8500.000714303236;13.80658569676416
1;17;16;33;S;-26585.85830;0.00134;8497.6304;0.0002;-5582.5182;0.3908;971458.90862;0.00144;0;8477.137411509882;20.49298849011757
-1;16;17;33;Cl;-21003.340;0.391;8304.7557;0.0118;-11619.0452;0.5596;977451.988;0.419;0;8271.371881947847;33.38381805215249
-3;15;18;33;Ar;-9384.295;0.401;7928.9559;0.0121;-16925;200;989925.545;0.430;0;7882.70412561713;46.25177438287028
-5;14;19;33;K;7540;200;7392.0;6;-23489;447;008095;215;0;7311.134142517732;80.86585748226844
-7;13;20;33;Ca;31030;400;6657.0;12;*;;033312;429;0;6556.66193264965;100.33806735034977
14;24;10;34;Ne;52842;513;6287.0;15;21161;789;056728;551;-1;5674.904345752553;612.0956542474469
12;23;11;34;Na;31680.114;599.416;6886.4377;17.6299;23356.7903;599.4561;034010.000;643.500;1;6479.683588556199;406.7541114438018
