N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;atomic_mass;atomic_mass_unc;delta;bind_ene_teo;Diff_bind_ene
13;79;66;145;Dy;-58242.607;6.520;8116.8884;0.0450;-9122.4943;9.9019;937473.992;7.000;0;8356.132141863378;-239.2437418633781
11;78;67;145;Ho;-49120.113;7.452;8048.5792;0.0514;-9880;200;947267.392;8.000;0;8293.866064042932;-245.28686404293148
9;77;68;145;Er;-39240;200;7975.0;1;-11657;280;957874;215;0;8221.039594074808;-246.0395940748076
7;76;69;145;Tm;-27583;196;7889.0;1;*;;970389;210;0;8137.652731959008;-248.65273195900772
40;93;53;146;I;-35540;300;8031.0;2;12415;301;961846;322;1;8165.34807894932;-134.34807894931964
38;92;54;146;Xe;-47954.950;24.219;8110.4154;0.1659;7355.4298;24.3911;948518.245;26.000;-1;8255.974082974271;-145.5586829742715
36;91;55;146;Cs;-55310.380;2.893;8155.4365;0.0198;9555.8882;3.3918;940621.867;3.106;1;8310.78098317346;-155.3444831734596
34;90;56;146;Ba;-64866.269;1.770;8215.5293;0.0121;4354.9052;2.4366;930363.200;1.900;-1;8380.55883955974;-165.02953955974044
32;89;57;146;La;-69221.174;1.675;8239.9988;0.0115;6404.6947;14.7146;925688.017;1.797;1;8414.517592120255;-174.51879212025597
30;88;58;146;Ce;-75625.868;14.665;8278.5081;0.1004;1047.6178;32.4842;918812.294;15.743;-1;8463.447300867865;-184.93920086786602
28;87;59;146;Pr;-76673.486;34.356;8280.325;0.2353;4252.4300;34.3686;917687.630;36.882;1;8476.557905789714;-196.2329057897132
26;86;60;146;Nd;-80925.916;1.273;8304.0927;0.0087;-1471.5560;4.1194;913122.459;1.366;-1;8504.639466898652;-200.546766898653
24;85;61;146;Pm;-79454.360;4.275;8288.655;0.0293;1542.0000;3.0000;914702.240;4.589;1;8496.90192418183;-208.24692418182894
22;84;62;146;Sm;-80996.360;3.045;8293.8581;0.0209;-3878.7573;5.8685;913046.835;3.269;-1;8504.135337652098;-210.27723765209885
20;83;63;146;Eu;-77117.603;6.009;8261.9327;0.0412;-1031.7798;7.0750;917210.852;6.451;1;8475.549647296604;-213.61694729660485
18;82;64;146;Gd;-76085.823;4.076;8249.5072;0.0279;-8322.1791;44.7488;918318.513;4.376;-1;8461.934913128205;-212.42771312820514
16;81;65;146;Tb;-67763.644;44.860;8187.1474;0.3073;-5208.7165;45.1580;927252.739;48.159;1;8412.50107513404;-225.3536751340398
14;80;66;146;Dy;-62554.928;6.695;8146.1128;0.0459;-11316.7007;9.3917;932844.526;7.187;-1;8378.038193326971;-231.92539332697106
12;79;67;146;Ho;-51238.227;6.587;8063.2426;0.0451;-6916.2074;9.3987;944993.503;7.071;1;8307.756207694136;-244.51360769413623
10;78;68;146;Er;-44322.019;6.705;8010.5127;0.0459;-13267;200;952418.357;7.197;-1;8252.445178248394;-241.93247824839364
8;77;69;146;Tm;-31055;200;7914.0;1;*;;966661;215;1;8161.31504497689;-247.31504497689002
41;94;53;147;I;-31200;300;8001.0;2;11199;361;966505;322;0;8138.092192846193;-137.09219284619303
39;93;54;147;Xe;-42400;200;8072.0;1;9520;200;954482;215;0;8218.84525221259;-146.8452522125899
37;92;55;147;Cs;-51920.073;8.383;8131.801;0.0570;8343.9631;21.4535;944261.512;9.000;0;8289.307854426832;-157.50685442683152
35;91;56;147;Ba;-60264.036;19.748;8183.2405;0.1343;6414.3615;22.4660;935303.900;21.200;0;8349.479999488914;-166.2394994889146
33;90;57;147;La;-66678.397;10.712;8221.5536;0.0729;5335.5046;13.7248;928417.800;11.500;0;8399.361687398841;-177.80808739884196
31;89;58;147;Ce;-72013.902;8.580;8252.5274;0.0584;3430.1913;15.5317;922689.900;9.211;0;8438.95291815661;-186.42551815660954
29;88;59;147;Pr;-75444.093;15.855;8270.54;0.1079;2702.7013;15.8571;919007.438;17.020;0;8468.253691762226;-197.7136917622247
27;87;60;147;Nd;-78146.794;1.275;8283.6036;0.0087;895.1896;0.5664;916105.969;1.368;0;8487.26400821568;-203.66040821567913
25;86;61;147;Pm;-79041.984;1.288;8284.3712;0.0088;224.0638;0.2940;915144.944;1.382;0;8495.983867516978;-211.61266751697804
23;85;62;147;Sm;-79266.048;1.262;8280.5734;0.0086;-1721.4367;2.2832;914904.401;1.354;0;8494.41326966612;-213.83986966612065
21;84;63;147;Eu;-77544.611;2.569;8263.5409;0.0175;-2187.6833;2.5273;916752.440;2.758;0;8482.552214663105;-219.0113146631047
19;83;64;147;Gd;-75356.928;1.887;8243.3366;0.0128;-4614.2543;8.1414;919101.014;2.025;0;8460.40070250793;-217.06410250792942
17;82;65;147;Tb;-70742.674;8.096;8206.625;0.0551;-6546.6266;11.9939;924054.620;8.691;0;8427.958733200603;-221.3337332006031
15;81;66;147;Dy;-64196.047;8.849;8156.768;0.0602;-8438.9460;10.1644;931082.712;9.500;0;8385.226306741113;-228.45830674111312
13;80;67;147;Ho;-55757.101;5.001;8094.0381;0.0340;-9149.2869;38.5173;940142.293;5.368;0;8332.203423129471;-238.1653231294713
11;79;68;147;Er;-46607.814;38.191;8026.476;0.2598;-10633.4071;38.7987;949964.456;41.000;0;8268.89008236567;-242.41408236566986
9;78;69;147;Tm;-35974.407;6.839;7948.8178;0.0465;*;;961379.887;7.341;0;8195.286284449709;-246.46848444970874
40;94;54;148;Xe;-38650;300;8047.0;2;8261;300;958508;322;-1;8193.535111520288;-146.5351115202884
38;93;55;148;Cs;-46910.950;13.041;8097.5469;0.0881;10633.9614;13.1258;949639.026;14.000;1;8254.429992514612;-156.88309251461123
36;92;56;148;Ba;-57544.911;1.490;8164.1118;0.0101;5163.8307;19.5252;938223.000;1.600;-1;8330.047411910538;-165.93561191053868
34;91;57;148;La;-62708.742;19.468;8193.7165;0.1315;7689.6824;22.4573;932679.400;20.900;1;8370.623351929153;-176.90685192915225
32;90;58;148;Ce;-70398.424;11.195;8240.3876;0.0756;2137.0282;12.5663;924424.186;12.017;-1;8425.921830349376;-185.53423034937623
30;89;59;148;Pr;-72535.452;15.041;8249.5409;0.1016;4872.6133;15.0858;922129.992;16.147;1;8446.178829392285;-196.6379293922855
28;88;60;148;Nd;-77408.066;2.053;8277.1778;0.0139;-542.1891;5.8755;916899.027;2.203;-1;8481.158366836802;-203.9805668368026
26;87;61;148;Pm;-76865.877;5.690;8268.2283;0.0384;2470.1898;5.6409;917481.091;6.108;1;8481.096424904006;-212.86812490400553
24;86;62;148;Sm;-79336.067;1.246;8279.6326;0.0084;-3038.5844;9.9657;914829.233;1.337;-1;8495.757021372816;-216.12442137281505
22;85;63;148;Eu;-76297.482;9.961;8253.8155;0.0673;-28.0630;9.9633;918091.288;10.693;1;8475.376138464317;-221.56063846431607
20;84;64;148;Gd;-76269.419;1.460;8248.3398;0.0099;-5732.4723;12.5208;918121.414;1.566;-1;8469.71779395742;-221.37799395741968
18;83;65;148;Tb;-70536.947;12.463;8204.3207;0.0842;-2677.5501;9.5961;924275.476;13.379;1;8429.017970073215;-224.6972700732149
16;82;66;148;Dy;-67859.397;8.724;8180.943;0.0589;-9868.2304;84.2872;927149.944;9.365;-1;8403.040684590613;-222.09768459061252
14;81;67;148;Ho;-57991.166;83.834;8108.9797;0.5664;-6512.1694;84.4583;937743.925;90.000;1;8342.021919730701;-233.04221973070162
12;80;68;148;Er;-51478.997;10.246;8059.6924;0.0692;-12713.9630;14.4906;944735.026;11.000;-1;8295.725693272394;-236.03329327239408
10;79;69;148;Tm;-38765.034;10.246;7968.5011;0.0692;-8535;400;958384.026;11.000;1;8214.387987436776;-245.8868874367754
8;78;70;148;Yb;-30230;400;7906.0;3;*;;967547;429;-1;8147.772820002764;-241.7728200027641
41;95;54;149;Xe;-33000;300;8009.0;2;10300;500;964573;322;0;8155.07200643718;-146.07200643717988
39;94;55;149;Cs;-43300;400;8073.0;3;9531;400;953516;429;0;8231.198870958759;-158.19887095875856
37;93;56;149;Ba;-52830.620;2.515;8131.8495;0.0169;7389.3010;200.2781;943284.000;2.700;0;8297.294690940433;-165.44519094043244
35;92;57;149;La;-60219.921;200.262;8176.1915;1.3440;6450.0000;200.0000;935351.259;214.990;0;8353.359466382206;-177.16796638220603
33;91;58;149;Ce;-66669.921;10.246;8214.2294;0.0688;4369.4525;14.2296;928426.900;11.000;0;8399.393197284071;-185.16379728407082
31;90;59;149;Pr;-71039.373;9.874;8238.304;0.0663;3336.1617;10.0853;923736.100;10.600;0;8435.395883646037;-197.09188364603688
29;89;60;149;Nd;-74375.535;2.054;8255.4437;0.0138;1688.8697;2.4588;920154.583;2.205;0;8461.367525468097;-205.92382546809677
27;88;61;149;Pm;-76064.404;2.184;8261.5277;0.0147;1071.4936;1.8747;918341.507;2.344;0;8477.308122750255;-215.78042275025473
25;87;62;149;Sm;-77135.898;1.157;8263.4683;0.0078;-694.5812;3.7881;917191.211;1.241;0;8483.21767549251;-219.749375492509
23;86;63;149;Eu;-76441.317;3.903;8253.556;0.0262;-1314.1437;4.1361;917936.875;4.190;0;8479.09618369486;-225.5401836948604
21;85;64;149;Gd;-75127.173;3.310;8239.4856;0.0222;-3638.5336;4.3388;919347.666;3.553;0;8464.943647357311;-225.45804735731144
19;84;65;149;Tb;-71488.639;3.629;8209.8153;0.0244;-3794.6493;9.1335;923253.792;3.895;0;8440.760066479854;-230.94476647985357
17;83;66;149;Dy;-67693.990;9.183;8179.0972;0.0616;-6048.1366;12.7928;927327.516;9.858;0;8406.545441062497;-227.4482410624969
15;82;67;149;Ho;-61645.854;11.985;8133.255;0.0804;-7904.2328;30.4066;933820.457;12.866;0;8362.299771105234;-229.04477110523385
13;81;68;149;Er;-53741.621;27.945;8074.9558;0.1875;-9801;202;942306.000;30.000;0;8308.023056608066;-233.0672566080666
11;80;69;149;Tm;-43940;200;8004.0;1;-10611;361;952828;215;0;8243.715297571;-239.7152975709996
9;79;70;149;Yb;-33330;300;7927.0;2;*;;964219;322;0;8169.376493994026;-242.37649399402562
42;96;54;150;Xe;-28990;300;7983.0;2;9180;500;968878;322;-1;8128.250909108667;-145.25090910866675
40;95;55;150;Cs;-38170;400;8039.0;3;11720;400;959023;429;1;8194.895939832099;-155.89593983209852
38;94;56;150;Ba;-49889.799;5.682;8111.8405;0.0379;6421.3477;6.2138;946441.100;6.100;-1;8276.021889472857;-164.1813894728566
36;93;57;150;La;-56311.147;2.515;8149.4339;0.0168;8535.7155;11.9641;939547.500;2.700;1;8322.856695596849;-173.42279559684903
34;92;58;150;Ce;-64846.863;11.697;8201.123;0.0780;3453.6462;14.2913;930384.032;12.556;-1;8384.172420638166;-183.04942063816634
32;91;59;150;Pr;-68300.509;9.015;8218.9316;0.0601;5379.4422;9.0682;926676.391;9.677;1;8411.197002162718;-192.2654021627186
30;90;60;150;Nd;-73679.951;1.129;8249.5789;0.0075;-82.6155;20.0010;920901.322;1.211;-1;8452.702502604598;-203.12360260459718
28;89;61;150;Pm;-73597.336;20.031;8243.8125;0.1335;3454.0000;20.0000;920990.014;21.504;1;8459.916859529714;-216.1043595297142
26;88;62;150;Sm;-77051.336;1.112;8261.6235;0.0074;-2258.9662;6.1803;917281.993;1.193;-1;8481.612135372152;-219.9886353721522
24;87;63;150;Eu;-74792.369;6.231;8241.3481;0.0415;971.6815;3.5428;919707.092;6.688;1;8469.01626769783;-227.66816769783145
22;86;64;150;Gd;-75764.051;6.055;8242.6103;0.0404;-4658.2621;8.3784;918663.949;6.500;-1;8470.901318940827;-228.2910189408267
20;85;65;150;Tb;-71105.789;7.371;8206.3396;0.0491;-1796.1707;8.3886;923664.799;7.912;1;8438.495226667066;-232.15562666706683
18;84;66;150;Dy;-69309.618;4.319;8189.1495;0.0288;-7363.7264;14.4629;925593.068;4.636;-1;8420.570053310626;-231.42055331062602
16;83;67;150;Ho;-61945.892;14.168;8134.8423;0.0945;-4114.5689;13.5910;933498.353;15.209;1;8368.353736437428;-233.51143643742762
14;82;68;150;Er;-57831.323;17.194;8102.1962;0.1146;-11340;196;937915.524;18.458;-1;8330.618338481549;-228.42213848154825
12;81;69;150;Tm;-46491;196;8021.0;1;-7661;358;950090;210;1;8258.591797008909;-237.59179700890854
10;80;70;150;Yb;-38830;300;7965.0;2;-14059;424;958314;322;-1;8201.046174453591;-236.04617445359145
8;79;71;150;Lu;-24771;300;7866.0;2;*;;973407;322;1;8109.209408381512;-243.20940838151182
41;96;55;151;Cs;-34280;500;8013.0;3;10660;640;963199;537;0;8170.069023500549;-157.0690235005486
39;95;56;151;Ba;-44940;400;8079.0;3;8370;591;951755;429;0;8241.759263359687;-162.75926335968688
37;94;57;151;La;-53310.339;435.473;8129.0436;2.8839;7914.7191;435.8330;942769.000;467.500;0;8303.66789427171;-174.6242942717099
35;93;58;151;Ce;-61225.058;17.698;8176.2779;0.1172;5554.6233;21.1885;934272.200;19.000;0;8355.794916236624;-179.51701623662393
33;92;59;151;Pr;-66779.681;11.650;8207.8824;0.0772;4163.5021;11.6789;928309.066;12.506;0;8398.140329254424;-190.2579292544233
31;91;60;151;Nd;-70943.183;1.133;8230.2741;0.0075;2443.0767;4.4734;923839.363;1.215;0;8430.704133325113;-200.43003332511216
29;90;61;151;Pm;-73386.260;4.611;8241.2723;0.0305;1190.2198;4.4757;921216.613;4.949;0;8453.486328448691;-212.21402844869044
27;89;62;151;Sm;-74576.480;1.110;8243.9735;0.0074;76.6182;0.5375;919938.859;1.191;0;8466.486914625157;-222.51341462515666
25;88;63;151;Eu;-74653.098;1.166;8239.2998;0.0077;-464.1779;2.7791;919856.606;1.251;0;8469.70589185451;-230.4060918545092
23;87;64;151;Gd;-74188.920;2.993;8231.0446;0.0198;-2565.3796;3.7615;920354.922;3.212;0;8463.143260136752;-232.0986601367531
21;86;65;151;Tb;-71623.541;4.094;8208.8743;0.0271;-2871.1525;4.9455;923108.970;4.395;0;8446.799019471882;-237.92471947188278
19;85;66;151;Dy;-68752.388;3.247;8184.6789;0.0215;-5129.6421;8.7507;926191.279;3.486;0;8420.673169859901;-235.99426985990158
17;84;67;151;Ho;-63622.746;8.298;8145.5267;0.0550;-5356.4558;18.4420;931698.176;8.908;0;8384.765711300808;-239.23901130080776
15;83;68;151;Er;-58266.290;16.470;8104.8723;0.1091;-7494.6768;25.4292;937448.567;17.681;0;8339.076643794602;-234.2043437946022
13;82;69;151;Tm;-50771.613;19.375;8050.0576;0.1283;-9229.2615;300.1329;945494.433;20.799;0;8283.605967341287;-233.5483673412873
11;81;70;151;Yb;-41542.352;300.492;7983.7556;1.9900;-11242;425;955402.453;322.591;0;8218.353681940858;-234.5980819408578
9;80;71;151;Lu;-30300;300;7904.0;2;*;;967471;322;0;8143.3197875933165;-239.3197875933165
42;97;55;152;Cs;-29130;500;7980.0;3;12480;640;968728;537;1;8132.488227841717;-152.48822784171716
40;96;56;152;Ba;-41610;400;8057.0;3;7680;500;955330;429;-1;8218.811518028715;-161.811518028715
38;95;57;152;La;-49290;300;8102.0;2;9690;361;947085;322;1;8271.568021757908;-169.56802175790835
36;94;58;152;Ce;-58980;200;8161.0;1;4778;201;936682;215;-1;8338.570368415214;-177.57036841521403
34;93;59;152;Pr;-63758.070;18.537;8187.1049;0.1220;6391.5934;30.7035;931552.900;19.900;1;8372.005928614719;-184.9010286147186
32;92;60;152;Nd;-70149.663;24.476;8224.0078;0.1610;1104.8050;18.5011;924691.242;26.276;-1;8419.68733174233;-195.67953174233116
30;91;61;152;Pm;-71254.468;25.904;8226.1293;0.1704;3508.5089;25.8859;923505.185;27.809;1;8433.801948412143;-207.67264841214273
28;90;62;152;Sm;-74762.977;1.016;8244.0645;0.0067;-1874.4774;0.6857;919738.646;1.090;-1;8462.162408010065;-218.0979080100642
26;89;63;152;Eu;-72888.500;1.166;8226.5854;0.0077;1818.8037;0.7002;921750.980;1.252;1;8456.956081150183;-230.37068115018337
24;88;64;152;Gd;-74707.304;1.007;8233.4042;0.0066;-3990.0000;40.0000;919798.414;1.081;-1;8465.995597218413;-232.59139721841166
22;87;65;152;Tb;-70717.304;40.013;8202.0072;0.2632;-599.3405;40.2575;924081.855;42.955;1;8441.468326828839;-239.46112682883904
20;86;66;152;Dy;-70117.963;4.593;8192.9171;0.0302;-6513.3275;13.3176;924725.274;4.930;-1;8431.186899367378;-238.26979936737735
18;85;67;152;Ho;-63604.636;12.528;8144.9193;0.0824;-3104.4174;9.8150;931717.618;13.449;1;8387.338685448112;-242.41938544811273
16;84;68;152;Er;-60500.218;8.830;8119.3485;0.0581;-8779.9397;54.7434;935050.347;9.478;-1;8357.736314456955;-238.3878144569553
14;83;69;152;Tm;-51720.279;54.027;8056.4387;0.3554;-5449.8923;139.6200;944476.000;58.000;1;8294.567157007998;-238.1284570079979
12;82;70;152;Yb;-46270.386;149.708;8015.4371;0.9849;-12848;246;950326.699;160.718;-1;8245.643842487154;-230.20674248715386
10;81;71;152;Lu;-33422;196;7926.0;1;*;;964120;210;1;8163.153741508504;-237.15374150850403
41;97;56;153;Ba;-36470;400;8023.0;3;9590;500;960848;429;0;8183.18940973637;-160.18940973637018
39;96;57;153;La;-46060;300;8081.0;2;8850;361;950553;322;0;8250.622694224185;-169.62269422418467
37;95;58;153;Ce;-54910;200;8134.0;1;6659;201;941052;215;0;8308.514338654923;-174.51433865492254
35;94;59;153;Pr;-61568.490;11.882;8172.0371;0.0777;5761.8901;12.1896;933903.511;12.755;0;8356.864343028592;-184.82724302859242
33;93;60;153;Nd;-67330.380;2.747;8204.5832;0.0180;3317.6236;9.3521;927717.868;2.949;0;8395.672707345188;-191.0895073451884
31;92;61;153;Pm;-70648.003;9.063;8221.1536;0.0592;1912.0559;9.0829;924156.252;9.729;0;8424.93943160471;-203.78583160470953
29;91;62;153;Sm;-72560.059;1.025;8228.5373;0.0067;807.4073;0.7063;922103.576;1.100;0;8444.664515807159;-216.1272158071588
27;90;63;153;Eu;-73367.466;1.171;8228.7011;0.0077;-484.5225;0.7150;921236.789;1.257;0;8454.847959952536;-226.14685995253603
25;89;64;153;Gd;-72882.944;1.002;8220.4209;0.0066;-1569.3340;3.8444;921756.945;1.075;0;8455.48976404084;-235.0688640408407
23;88;65;153;Tb;-71313.610;3.947;8205.0504;0.0258;-2170.4134;1.9335;923441.694;4.237;0;8446.58992807207;-241.53952807206952
21;87;66;153;Dy;-69143.197;4.001;8185.7514;0.0262;-4131.1229;6.1571;925771.729;4.295;0;8428.148452046229;-242.39705204622896
19;86;67;153;Ho;-65012.074;5.066;8153.6372;0.0331;-4545.3918;9.8899;930206.671;5.438;0;8400.165335963315;-246.52813596331453
17;85;68;153;Er;-60466.682;9.285;8118.8154;0.0607;-6494.0723;12.8812;935086.350;9.967;0;8362.64057982333;-243.82517982332956
15;84;69;153;Tm;-53972.610;11.979;8071.2571;0.0783;-6813;201;942058.023;12.860;0;8315.574183626271;-244.3170836262716
13;83;70;153;Yb;-47160;200;8022.0;1;-8784;250;949372;215;0;8258.966147372139;-236.96614737213895
11;82;71;153;Lu;-38375.462;150.017;7959.0882;0.9805;-11075;335;958802.248;161.050;0;8192.816471060933;-233.72827106093246
9;81;72;153;Hf;-27300;300;7882.0;2;*;;970692;322;0;8117.125154692657;-235.1251546926569
42;98;56;154;Ba;-32920;500;8001.0;3;8610;583;964659;537;-1;8158.7186731603915;-157.71867316039152
40;97;57;154;La;-41530;300;8051.0;2;10690;361;955416;322;1;8217.079402927075;-166.07940292707463
38;96;58;154;Ce;-52220;200;8116.0;1;5640;224;943940;215;-1;8289.457200212157;-173.45720021215675
36;95;59;154;Pr;-57859.602;100.005;8147.2994;0.6494;7720.0000;100.0000;937885.165;107.360;1;8328.967819835982;-181.6684198359817
34;94;60;154;Nd;-65579.602;1.025;8192.3491;0.0067;2687.0000;25.0000;929597.404;1.100;-1;8382.495506978203;-190.14640697820323
32;93;61;154;Pm;-68266.602;25.021;8204.717;0.1625;4188.9614;25.0550;926712.791;26.861;1;8403.156016459165;-198.43901645916412
30;92;62;154;Sm;-72455.564;1.305;8226.8379;0.0085;-717.1969;1.1019;922215.756;1.400;-1;8437.833593458525;-210.99569345852433
28;91;63;154;Eu;-71738.367;1.188;8217.1006;0.0077;1967.9913;0.7535;922985.699;1.275;1;8439.643992796628;-222.5433927966278
26;90;64;154;Gd;-73706.358;0.994;8224.7996;0.0065;-3549.6514;45.2983;920872.974;1.066;-1;8455.471459653125;-230.67185965312456
24;89;65;154;Tb;-70156.707;45.309;8196.6697;0.2942;237.3080;45.9008;924683.681;48.641;1;8438.431748848368;-241.76204884836807
22;88;66;154;Dy;-70394.015;7.431;8193.1305;0.0483;-5754.6363;10.1785;924428.920;7.977;-1;8435.409105562008;-242.27860556200903
20;87;67;154;Ho;-64639.378;8.216;8150.6825;0.0534;-2034.4045;9.4621;930606.776;8.820;1;8399.519284614391;-248.83678461439104
18;86;68;154;Er;-62604.974;4.961;8132.3919;0.0322;-8177.8316;14.9113;932790.799;5.325;-1;8377.64653118517;-245.25463118517018
16;85;69;154;Tm;-54427.142;14.412;8074.209;0.0936;-4495.0495;13.9528;941570.062;15.471;1;8322.90660009469;-248.69760009468973
14;84;70;154;Yb;-49932.093;17.281;8039.9402;0.1122;-10265;201;946395.696;18.551;-1;8282.18373652261;-242.24353652260925
12;83;71;154;Lu;-39667;201;7968.0;1;-6937;361;957416;216;1;8208.59369528927;-240.59369528926982
10;82;72;154;Hf;-32730;300;7918.0;2;*;;964863;322;-1;8149.020721574328;-231.02072157432758
41;98;57;155;La;-37930;400;8028.0;3;9850;500;959280;429;0;8194.53253300406;-166.5325330040596
39;97;58;155;Ce;-47780;300;8087.0;2;7635;300;948706;322;0;8257.879264756946;-170.8792647569462
37;96;59;155;Pr;-55415.335;17.198;8131.0398;0.1110;6868.4609;19.4725;940509.193;18.462;0;8311.915336585196;-180.87553658519664
35;95;60;155;Nd;-62283.796;9.154;8170.305;0.0591;4656.2095;10.2781;933135.598;9.826;0;8356.640748488813;-186.3357484888129
33;94;61;155;Pm;-66940.006;4.719;8195.2977;0.0304;3251.1999;4.9024;928136.951;5.065;0;8392.055500467794;-196.75780046779437
31;93;62;155;Sm;-70191.206;1.332;8211.2258;0.0086;1627.1314;1.2016;924646.645;1.429;0;8418.159592522143;-206.93379252214254
29;92;63;155;Eu;-71818.337;1.252;8216.676;0.0081;251.9612;0.8682;922899.847;1.343;0;8434.953024651855;-218.27702465185575
27;91;64;155;Gd;-72070.298;0.983;8213.2541;0.0063;-819.8588;9.7884;922629.356;1.055;0;8442.435796856937;-229.18169685693647
25;90;65;155;Tb;-71250.439;9.830;8202.9173;0.0634;-2094.5000;1.8974;923509.511;10.552;0;8440.607909137383;-237.69060913738394
23;89;66;155;Dy;-69155.939;9.645;8184.357;0.0622;-3116.1405;16.5887;925758.049;10.354;0;8429.469361493191;-245.1123614931912
21;88;67;155;Ho;-66039.799;17.470;8159.2055;0.1127;-3830.6268;18.4730;929103.363;18.754;0;8409.020153924368;-249.81465392436803
19;87;68;155;Er;-62209.172;6.074;8129.4444;0.0392;-5583.2509;11.5109;933215.710;6.520;0;8379.260286430912;-249.81588643091163
17;86;69;155;Tm;-56625.921;9.921;8088.376;0.0640;-6123.3072;19.3388;939209.576;10.651;0;8340.189759012821;-251.8137590128208
15;85;70;155;Yb;-50502.614;16.600;8043.8234;0.1071;-7957.5578;25.4153;945783.216;17.820;0;8291.808571670092;-247.9851716700914
13;84;71;155;Lu;-42545.056;19.245;7987.4369;0.1242;-8235;301;954326.005;20.660;0;8234.116724402733;-246.67982440273317
11;83;72;155;Hf;-34310;300;7929.0;2;-10322;424;963167;322;0;8167.11421721074;-238.1142172107402
9;82;73;155;Ta;-23988;300;7858.0;2;*;;974248;322;0;8090.801050094111;-232.8010500941109
42;99;57;156;La;-33050;400;7997.0;3;11769;500;964519;429;1;8159.687041061023;-162.68704106102268
40;98;58;156;Ce;-44820;300;8068.0;2;6630;300;951884;322;-1;8237.147243151909;-169.1472431519087
38;97;59;156;Pr;-51449.307;1.025;8105.2337;0.0066;8752.8229;1.6585;944766.900;1.100;1;8282.41628516505;-177.18258516505102
36;96;60;156;Nd;-60202.130;1.304;8156.3265;0.0084;3964.7175;1.7642;935370.358;1.400;-1;8341.479688193187;-185.1531881931869
34;95;61;156;Pm;-64166.847;1.188;8176.7263;0.0076;5193.8878;8.6044;931114.059;1.275;1;8368.351931143576;-191.62563114357545
32;94;62;156;Sm;-69360.735;8.522;8205.0054;0.0546;722.1090;7.9025;925538.191;9.148;-1;8409.01853510896;-204.01313510896034
30;93;63;156;Eu;-70082.844;3.532;8204.6192;0.0226;2452.4891;3.4083;924762.976;3.791;1;8417.4939789966;-212.87477899660007
28;92;64;156;Gd;-72535.333;0.983;8215.3253;0.0063;-2444.3230;3.6774;922130.120;1.054;-1;8439.763783899232;-224.43848389923187
26;91;65;156;Tb;-70091.010;3.768;8194.6415;0.0242;438.3762;3.6789;924754.209;4.044;1;8429.842428724121;-235.2009287241217
24;90;66;156;Dy;-70529.386;0.988;8192.4366;0.0063;-4990.9836;38.4111;924283.593;1.060;-1;8433.715434564003;-241.27883456400195
22;89;67;156;Ho;-65538.403;38.424;8155.428;0.2463;-1326.7201;45.6391;929641.634;41.249;1;8405.39728032614;-249.9692803261405
20;88;68;156;Er;-64211.683;24.629;8141.9084;0.1579;-7377.2657;26.7099;931065.926;26.440;-1;8390.873487103272;-248.9650871032718
18;87;69;156;Tm;-56834.417;14.279;8089.6032;0.0915;-3568.8794;12.5484;938985.746;15.328;1;8344.158533802658;-254.55533380265842
16;86;70;156;Yb;-53265.538;9.308;8061.7107;0.0597;-9565.9880;54.9162;942817.096;9.992;-1;8311.237941517036;-249.5272415170366
14;85;71;156;Lu;-43699.550;54.122;7995.3752;0.3469;-5880.0352;139.6908;953086.606;58.102;1;8246.126189153672;-250.75098915367198
12;84;72;156;Hf;-37819.514;149.740;7952.6676;0.9599;-11819;335;959399.083;160.752;-1;8194.808797805303;-242.1411978053029
10;83;73;156;Ta;-26001;300;7872.0;2;*;;972087;322;1;8111.300246379185;-239.3002463791854
43;100;57;157;La;-29070;300;7972.0;2;10860;500;968792;322;0;8135.681355299493;-163.68135529949268
41;99;58;157;Ce;-39930;400;8037.0;3;8504;400;957133;429;0;8204.19147700664;-167.19147700663962
39;98;59;157;Pr;-48434.806;3.167;8085.817;0.0202;8059.3109;3.8207;948003.100;3.400;0;8263.61337817743;-177.7963781774297
37;97;60;157;Nd;-56494.117;2.137;8132.1671;0.0136;5802.9994;7.3246;939351.074;2.294;0;8313.947058811862;-181.77995881186234
35;96;61;157;Pm;-62297.116;7.006;8164.1458;0.0446;4380.5376;8.2650;933121.298;7.521;0;8355.192518909935;-191.0467189099345
33;95;62;157;Sm;-66677.654;4.434;8187.0642;0.0282;2781.4807;6.1191;928418.598;4.759;0;8387.349758471646;-200.28555847164625
31;94;63;157;Eu;-69459.134;4.234;8199.7975;0.0270;1364.7614;4.1973;925432.556;4.545;0;8410.418777497001;-210.62127749700085
29;93;64;157;Gd;-70823.896;0.977;8203.5072;0.0062;-60.0473;0.2972;923967.424;1.048;0;8424.399575985999;-220.89237598599902
27;92;65;157;Tb;-70763.848;1.018;8198.1416;0.0065;-1339.1791;5.1297;924031.888;1.092;0;8429.292153938637;-231.15055393863622
25;91;66;157;Dy;-69424.669;5.154;8184.6287;0.0328;-2591.8068;23.7839;925469.555;5.532;0;8425.096511354915;-240.46781135491528
23;90;67;157;Ho;-66832.862;23.469;8163.1373;0.1495;-3419.2146;33.6675;928251.974;25.194;0;8411.812648234836;-248.67534823483584
21;89;68;157;Er;-63413.648;26.505;8136.3757;0.1688;-4704.3690;38.5152;931922.652;28.454;0;8389.440564578399;-253.06486457839947
