N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;A2;atomic_mass;atomic_mass_unc;delta;bind_ene_teo;Diff_bind_ene
44;124;80;204;Hg;-24690.145;0.498;7885.545;0.002;-344.000;1.186;203;973494.037;0.534;-1;8098.536915625392;-212.9919156253918
42;123;81;204;Tl;-24346.145;1.152;7880.023;0.006;763.748;0.177;203;973863.337;1.236;1;8098.251672927532;-218.228672927532
40;122;82;204;Pb;-25109.892;1.146;7879.932;0.006;-4463.996;9.248;203;973043.420;1.230;-1;8107.7830560326;-227.85105603260035
38;121;83;204;Bi;-20645.896;9.180;7854.215;0.045;-2304.652;14.335;203;977835.717;9.854;1;8096.379816036451;-242.16481603645116
36;120;84;204;Po;-18341.244;11.013;7839.083;0.054;-6465.811;24.860;203;980309.863;11.822;-1;8094.793201843231;-255.71020184323152
34;119;85;204;At;-11875.433;22.288;7803.552;0.109;-3905.240;23.498;203;987251.197;23.926;1;8072.271964548793;-268.71996454879354
32;118;86;204;Rn;-7970.193;7.444;7780.574;0.036;-8577.503;25.684;203;991443.644;7.991;-1;8059.567353057282;-278.99335305728255
30;117;87;204;Fr;607.310;24.581;7734.692;0.120;-5449.477;28.940;204;000651.974;26.389;1;8025.928118464556;-291.23611846455606
28;116;88;204;Ra;6056.787;15.273;7704.144;0.075;*;;204;006502.228;16.396;-1;8002.105509674758;-297.9615096747575
51;128;77;205;Ir;-5960;503;7807.0;2;7007;585;204;993602;540;0;8023.177150776993;-216.17715077699268
49;127;78;205;Pt;-12966;298;7837.0;1;5803;357;204;986080;320;0;8048.955124163755;-211.9551241637546
47;126;79;205;Au;-18770;196;7861.0;1;3518;196;204;979850;210;0;8069.224646538355;-208.22464653835505
45;125;80;205;Hg;-22287.740;3.654;7874.732;0.018;1533.135;3.724;204;976073.125;3.923;0;8083.985717900797;-209.2537179007968
43;124;81;205;Tl;-23820.874;1.237;7878.394;0.006;-50.636;0.503;204;974427.237;1.328;0;8093.238338251076;-214.8443382510759
41;123;82;205;Pb;-23770.239;1.144;7874.331;0.006;-2705.734;5.107;204;974481.597;1.228;0;8096.982507589194;-222.6515075891939
39;122;83;205;Bi;-21064.504;5.111;7857.316;0.025;-3543.106;11.280;204;977386.323;5.487;0;8095.2182259151505;-237.90222591515067
37;121;84;205;Po;-17521.398;10.059;7836.216;0.049;-4549.452;18.130;204;981190.004;10.798;0;8087.945493228944;-251.72949322894328
35;120;85;205;At;-12971.946;15.085;7810.207;0.074;-5262.161;15.913;204;986074.041;16.194;0;8075.16430953058;-264.95730953057955
33;119;86;205;Rn;-7709.786;5.080;7780.722;0.025;-6399.973;9.329;204;991723.204;5.453;0;8056.874674820051;-276.1526748200513
31;118;87;205;Fr;-1309.813;7.824;7745.686;0.038;-7148.804;70.954;204;998593.858;8.399;0;8033.076589097363;-287.39058909736286
29;117;88;205;Ra;5838.991;70.521;7706.998;0.344;-8267.702;86.923;205;006268.415;75.707;0;8003.770052362512;-296.7720523625121
27;116;89;205;Ac;14106.693;50.818;7662.851;0.248;*;;205;015144.158;54.555;0;7968.9550646155;-306.10406461550065
50;128;78;206;Pt;-9632;298;7822.0;1;4583;422;205;989660;320;-1;8037.970931250655;-215.97093125065476
48;127;79;206;Au;-14215;298;7840.0;1;6731;299;205;984740;320;1;8052.378981359837;-212.37898135983687
46;126;80;206;Hg;-20945.801;20.440;7869.172;0.099;1307.566;20.410;205;977513.756;21.943;-1;8076.480668643004;-207.30866864300424
44;125;81;206;Tl;-22253.367;1.284;7871.721;0.006;1532.217;0.612;205;976110.026;1.378;1;8079.9714891775775;-208.25048917757795
42;124;82;206;Pb;-23785.584;1.144;7875.362;0.006;-3757.306;7.546;205;974465.124;1.227;-1;8093.155946886139;-217.79394688613866
40;123;83;206;Bi;-20028.278;7.632;7853.324;0.037;-1839.604;8.600;205;978498.757;8.193;1;8085.7295378461;-232.40553784610074
38;122;84;206;Po;-18188.674;4.012;7840.597;0.019;-5758.956;15.580;205;980473.654;4.306;-1;8087.996765980053;-247.39976598005342
36;121;85;206;At;-12429.718;15.056;7808.843;0.073;-3296.753;17.330;205;986656.148;16.162;1;8069.653127365408;-260.81012736540833
34;120;86;206;Rn;-9132.965;8.591;7789.041;0.042;-7890.549;29.475;205;990195.358;9.223;-1;8061.003125924751;-271.9621259247506
32;119;87;206;Fr;-1242.416;28.195;7746.94;0.137;-4807.955;33.455;205;998666.211;30.268;1;8031.742257735498;-284.80225773549864
30;118;88;206;Ra;3565.539;18.008;7719.802;0.087;-9913.913;53.608;206;003827.763;19.332;-1;8012.175026720236;-292.37302672023634
28;117;89;206;Ac;13479.452;50.493;7667.879;0.245;*;;206;014470.787;54.206;1;7971.996928956374;-304.11792895637427
51;129;78;207;Pt;-4540;401;7798.0;2;6270;500;206;995126;430;0;8018.91105701203;-220.91105701203014
49;128;79;207;Au;-10810;300;7825.0;1;5677;301;206;988395;322;0;8042.576329063035;-217.5763290630348
47;127;80;207;Hg;-16487.444;29.808;7848.61;0.144;4547.008;30.300;206;982300.000;32.000;0;8060.832124595661;-212.22212459566163
45;126;81;207;Tl;-21034.451;5.439;7866.797;0.026;1417.595;5.402;206;977418.586;5.839;0;8073.678443609907;-206.88144360990736
43;125;82;207;Pb;-22452.047;1.147;7869.866;0.006;-2397.420;2.118;206;975896.735;1.230;0;8081.115286105771;-211.2492861057708
41;124;83;207;Bi;-20054.627;2.397;7854.505;0.012;-2908.852;6.614;206;978470.471;2.573;0;8083.142652083252;-228.63765208325185
39;123;84;207;Po;-17145.775;6.659;7836.673;0.032;-3918.358;14.075;206;981593.252;7.148;0;8079.760541542352;-243.08754154235248
37;122;85;207;At;-13227.416;12.406;7813.964;0.060;-4592.654;15.037;206;985799.783;13.318;0;8070.968954483069;-257.004954483069
35;121;86;207;Rn;-8634.762;8.497;7787.998;0.041;-5790.421;19.458;206;990730.200;9.121;0;8056.767890905405;-268.7698909054052
33;120;87;207;Fr;-2844.341;17.505;7756.246;0.085;-6388.826;56.008;206;996946.474;18.792;0;8037.157350809361;-280.91135080936056
31;119;88;207;Ra;3544.485;53.202;7721.602;0.257;-7601.748;73.276;207;003805.161;57.115;0;8012.137334194934;-290.53533419493397
29;118;89;207;Ac;11146.233;50.387;7681.099;0.243;*;;207;011965.973;54.092;0;7981.707841062125;-300.60884106212507
52;130;78;208;Pt;-990;400;7783.0;2;5111;499;207;998937;429;-1;8006.8896929524435;-223.8896929524435
50;129;79;208;Au;-6101;298;7804.0;1;7164;300;207;993450;320;1;8024.736110259987;-220.73611025998707
48;128;80;208;Hg;-13265.406;30.739;7834.191;0.148;3484.726;30.795;207;985759.000;33.000;-1;8052.155740551978;-217.96474055197814
46;127;81;208;Tl;-16750.132;1.854;7847.183;0.009;4998.466;1.669;207;982017.992;1.990;1;8059.280111723975;-212.0971117239751
44;126;82;208;Pb;-21748.598;1.148;7867.453;0.006;-2878.375;2.013;207;976651.918;1.231;-1;8075.977695880418;-208.5246958804173
42;125;83;208;Bi;-18870.223;2.304;7849.853;0.011;-1400.628;2.397;207;979741.981;2.473;1;8072.380020916871;-222.52702091687115
