N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;A2;atomic_mass;atomic_mass_unc;delta;bind_ene_teo;Diff_bind_ene
4;35;31;66;Ga;-63723.660;1.096;8669.361;0.017;-2116.628;2.639;65;931589.832;1.176;1;8787.59990058148;-118.23890058147845
2;34;32;66;Ge;-61607.032;2.401;8625.437;0.036;-9581.955;6.168;65;933862.126;2.577;-1;8737.395507345473;-111.95850734547275
0;33;33;66;As;-52025.077;5.682;8468.403;0.086;-10365;200;65;944148.779;6.100;1;8556.081228865814;-87.67822886581416
-2;32;34;66;Se;-41660;200;8300.0;3;*;;65;955276;215;-1;8410.763089259906;-110.76308925990634
21;44;23;67;V;-650;600;7812.0;9;18030;721;66;999302;644;0;7732.138223929222;79.86177607077843
19;43;24;67;Cr;-18680;400;8070.0;6;14780;500;66;979946;429;0;8031.601069641251;38.39893035874866
17;42;25;67;Mn;-33460;300;8279.0;4;12150;404;66;964079;322;0;8284.867669346744;-5.867669346744151
15;41;26;67;Fe;-45610.155;270.285;8448.469;4.034;9711.620;270.362;66;951035.482;290.163;0;8491.938023045697;-43.46902304569812
13;40;27;67;Co;-55321.775;6.443;8581.741;0.096;8420.905;7.061;66;940609.628;6.917;0;8652.812130738115;-71.07113073811524
11;39;28;67;Ni;-63742.680;2.888;8695.75;0.043;3576.832;3.023;66;931569.414;3.100;0;8767.489992423993;-71.73999242399259
9;38;29;67;Cu;-67319.513;0.894;8737.458;0.013;560.800;0.830;66;927729.526;0.959;0;8835.971608103333;-98.51360810333244
7;37;30;67;Zn;-67880.313;0.760;8734.152;0.011;-1001.265;1.122;66;927127.482;0.815;0;8858.256977776136;-124.10497777613637
5;36;31;67;Ga;-66879.048;1.181;8707.531;0.018;-4220.819;4.799;66;928202.384;1.268;0;8834.3461014424;-126.81510144239837
3;35;32;67;Ge;-62658.230;4.661;8632.857;0.070;-6071.005;4.682;66;932733.620;5.003;0;8764.238979102127;-131.38197910212693
1;34;33;67;As;-56587.225;0.443;8530.568;0.007;-10006.936;67.069;66;939251.111;0.475;0;8647.935610755316;-117.36761075531649
-1;33;34;67;Se;-46580.289;67.068;8369.534;1.001;-13790;405;66;949994.000;72.000;0;8485.435996401966;-115.90199640196624
-3;32;35;67;Br;-32790;400;8152.0;6;*;;66;964798;429;0;8276.74013604208;-124.74013604208085
20;44;24;68;Cr;-14800;500;8013.0;7;13580;640;67;984112;537;-1;7959.891181403376;53.10881859662368
18;43;25;68;Mn;-28380;400;8201.0;6;15107;541;67;969533;429;1;8184.740539373522;16.259460626478358
16;42;26;68;Fe;-43486.914;365.259;8411.698;5.371;8443.751;411.489;67;953314.875;392.121;-1;8444.589721090548;-32.891721090547435
14;41;27;68;Co;-51930.665;189.497;8524.366;2.787;11533.150;189.520;67;944250.135;203.433;1;8579.650550059941;-55.284550059941466
12;40;28;68;Ni;-63463.814;2.981;8682.466;0.044;2103.220;3.375;67;931868.789;3.200;-1;8749.711202776223;-67.24520277622287
10;39;29;68;Cu;-65567.035;1.584;8701.89;0.023;4440.057;1.767;67;929610.889;1.700;1;8794.983502744868;-93.0935027448686
8;38;30;68;Zn;-70007.092;0.784;8755.68;0.012;-2921.100;1.200;67;924844.291;0.841;-1;8875.255626460399;-119.57562646039878
6;37;31;68;Ga;-67085.992;1.433;8701.218;0.021;-107.203;2.361;67;927980.221;1.538;1;8830.739397428297;-129.52139742829604
4;36;32;68;Ge;-66978.789;1.876;8688.136;0.028;-8084.270;2.632;67;928095.308;2.014;-1;8821.222992143079;-133.08699214307853
2;35;33;68;As;-58894.519;1.846;8557.745;0.027;-4705.078;1.911;67;936774.130;1.981;1;8686.918234110226;-129.17323411022517
0;34;34;68;Se;-54189.441;0.496;8477.047;0.007;-15398;259;67;941825.239;0.532;-1;8587.613299824263;-110.56629982426239
-2;33;35;68;Br;-38791;259;8239.0;4;*;;67;958356;278;1;8363.520012790661;-124.52001279066099
21;45;24;69;Cr;-8580;500;7924.0;7;16190;640;68;990789;537;0;7846.04579388019;77.9542061198099
19;44;25;69;Mn;-24770;400;8147.0;6;14259;565;68;973408;429;0;8121.607494138963;25.392505861036625
17;43;26;69;Fe;-39030;400;8342.0;6;11250;424;68;958100;429;0;8353.521609255979;-11.521609255978547
15;42;27;69;Co;-50279.157;140.506;8493.865;2.036;9699.492;140.556;68;946023.102;150.839;0;8541.788139231234;-47.92313923123402
13;41;28;69;Ni;-59978.648;3.726;8623.099;0.054;5757.564;3.979;68;935610.268;4.000;0;8686.407084064727;-63.308084064727154
11;40;29;69;Cu;-65736.213;1.397;8695.204;0.020;2681.632;1.610;68;929429.268;1.500;0;8787.378443756463;-92.174443756463
9;39;30;69;Zn;-68417.845;0.800;8722.729;0.012;909.964;1.426;68;926550.418;0.858;0;8844.702218306438;-121.97321830643887
7;38;31;69;Ga;-69327.809;1.197;8724.579;0.017;-2227.146;0.550;68;925573.531;1.285;0;8858.378407714656;-133.7994077146559
5;37;32;69;Ge;-67100.663;1.318;8680.963;0.019;-3988.492;31.982;68;927964.471;1.414;0;8828.40701198111;-147.44401198110972
3;36;33;69;As;-63112.171;31.999;8611.821;0.464;-6677.465;32.021;68;932246.294;34.352;0;8754.788031105805;-142.9670311058053
1;35;34;69;Se;-56434.706;1.490;8503.707;0.022;-10175.236;42.029;68;939414.847;1.599;0;8637.521465088745;-133.81446508874433
-1;34;35;69;Br;-46259.470;42.003;8344.902;0.609;-13825;403;68;950338.413;45.092;0;8476.607313929922;-131.70531392992234
-3;33;36;69;Kr;-32435;401;8133.0;6;*;;68;965180;430;0;8272.045577629338;-139.04557762933837
22;46;24;70;Cr;-4480;600;7867.0;9;15020;781;69;995191;644;-1;7769.411376414643;97.5886235853568
20;45;25;70;Mn;-19500;500;8070.0;7;17010;640;69;979066;537;1;8016.777395982271;53.22260401772928
18;44;26;70;Fe;-36510;400;8302.0;6;10120;500;69;960805;429;-1;8298.18494652085;3.8150534791493556
16;43;27;70;Co;-46630;300;8436.0;4;12584;300;69;949941;322;1;8460.64476603558;-24.644766035580687
14;42;28;70;Ni;-59213.860;2.144;8604.291;0.031;3762.513;2.401;69;936431.303;2.301;-1;8657.146116521264;-52.85511652126479
12;41;29;70;Cu;-62976.373;1.082;8646.865;0.015;6588.362;2.202;69;932392.079;1.161;1;8734.6997359831;-87.83473598310047
10;40;30;70;Zn;-69564.735;1.918;8729.808;0.027;-654.595;1.574;69;925319.181;2.058;-1;8846.294886415892;-116.4868864158907
8;39;31;70;Ga;-68910.140;1.201;8709.28;0.017;1651.736;1.462;69;926021.917;1.289;1;8838.942305824834;-129.6623058248333
6;38;32;70;Ge;-70561.876;0.838;8721.7;0.012;-6220.000;50.000;69;924248.706;0.900;-1;8865.63125620473;-143.93125620472892
4;37;33;70;As;-64341.876;50.007;8621.666;0.714;-2411.985;50.032;69;930926.151;53.684;1;8773.372475560775;-151.7064755607753
2;36;34;70;Se;-61929.891;1.584;8576.033;0.023;-10504.272;14.988;69;933515.523;1.700;-1;8715.155225887776;-139.12222588777695
0;35;35;70;Br;-51425.619;14.904;8414.796;0.213;-10325;201;69;944792.323;16.000;1;8537.99024519093;-123.194245190929
-2;34;36;70;Kr;-41100;200;8256.0;3;*;;69;955877;215;-1;8394.866795465035;-138.86679546503547
21;46;25;71;Mn;-15570;500;8015.0;7;15860;640;70;983285;537;0;7947.91530193007;67.0846980699298
19;45;26;71;Fe;-31430;400;8227.0;6;12940;613;70;966259;429;0;8201.605667096057;25.394332903942995
17;44;27;71;Co;-44369.926;465.030;8398.734;6.550;11036.302;465.035;70;952366.923;499.230;0;8413.988115071643;-15.254115071642445
15;43;28;71;Ni;-55406.228;2.237;8543.156;0.032;7304.899;2.688;70;940518.964;2.401;0;8585.062645856835;-41.906645856834075
13;42;29;71;Cu;-62711.127;1.490;8635.022;0.021;4617.651;3.044;70;932676.832;1.600;0;8714.829259451628;-79.80725945162703
11;41;30;71;Zn;-67328.777;2.654;8689.041;0.037;2810.358;2.775;70;927719.580;2.849;0;8803.287955856025;-114.24695585602603
9;40;31;71;Ga;-70139.135;0.812;8717.604;0.011;-232.638;0.223;70;924702.536;0.871;0;8850.438735070022;-132.83473507002236
7;39;32;71;Ge;-69906.497;0.834;8703.309;0.012;-2013.400;4.082;70;924952.284;0.894;0;8856.281597093623;-152.97259709362334
5;38;33;71;As;-67893.097;4.167;8663.932;0.059;-4746.590;5.017;70;927113.758;4.473;0;8820.816541926824;-156.88454192682366
3;37;34;71;Se;-63146.507;2.794;8586.06;0.039;-6644.089;6.082;70;932209.432;3.000;0;8744.043569569629;-157.98356956962925
1;36;35;71;Br;-56502.418;5.402;8481.462;0.076;-10175.212;128.845;70;939342.156;5.799;0;8625.962680022036;-144.50068002203625
-1;35;36;71;Kr;-46327.205;128.769;8327.13;1.814;-14267;420;70;950265.696;138.238;0;8466.573873284045;-139.44387328404628
-3;34;37;71;Rb;-32060;400;8115.0;6;*;;70;965582;429;0;8265.877149355658;-150.87714935565782
22;47;25;72;Mn;-9900;600;7937.0;8;18530;781;71;989372;644;1;7839.609002612343;97.39099738765708
20;46;26;72;Fe;-28430;500;8184.0;7;11769;640;71;969479;537;-1;8139.824445580004;44.17555441999593
18;45;27;72;Co;-40200;400;8336.0;6;14027;400;71;956844;429;1;8326.50095360177;9.499046398230348
16;44;28;72;Ni;-54226.060;2.237;8520.211;0.031;5556.938;2.637;71;941785.926;2.401;-1;8546.297710923725;-26.08671092372606
14;43;29;72;Cu;-59782.999;1.397;8586.525;0.019;8362.487;2.558;71;935820.307;1.500;1;8652.555533299785;-66.03053329978502
12;42;30;72;Zn;-68145.486;2.142;8691.805;0.030;442.807;2.294;71;926842.807;2.300;-1;8791.933604976037;-100.12860497603651
10;41;31;72;Ga;-68588.293;0.819;8687.089;0.011;3997.607;0.822;71;926367.434;0.878;1;8817.77274170639;-130.68374170639072
8;40;32;72;Ge;-72585.900;0.076;8731.745;0.001;-4356.102;4.082;71;922075.826;0.081;-1;8876.732127736936;-144.98712773693478
6;39;33;72;As;-68229.798;4.083;8660.378;0.057;-361.618;4.528;71;926752.295;4.383;1;8822.152578821584;-161.77457882158342
4;38;34;72;Se;-67868.180;1.956;8644.489;0.027;-8806.437;2.208;71;927140.507;2.100;-1;8800.693279206424;-156.20427920642396
2;37;35;72;Br;-59061.743;1.025;8511.312;0.014;-5121.168;8.076;71;936594.607;1.100;1;8665.695044645367;-154.38304464536668
0;36;36;72;Kr;-53940.575;8.011;8429.319;0.111;-15611;500;71;942092.407;8.600;-1;8563.817059384499;-134.49805938449936
-2;35;37;72;Rb;-38330;500;8202.0;7;*;;71;958851;537;1;8348.400139177735;-146.40013917773467
21;47;26;73;Fe;-22900;500;8106.0;7;14518;640;72;975416;537;0;8039.027724606665;66.97227539333471
19;46;27;73;Co;-37418;400;8295.0;5;12690;400;72;959830;429;0;8272.65667438675;22.343325613250272
17;45;28;73;Ni;-50108.152;2.423;8457.652;0.033;8879.285;3.104;72;946206.683;2.601;0;8467.130758999581;-9.47875899958126
15;44;29;73;Cu;-58987.437;1.942;8568.569;0.027;6605.966;2.691;72;936674.378;2.084;0;8622.449978445155;-53.88097844515505
13;43;30;73;Zn;-65593.402;1.863;8648.345;0.026;4105.932;2.506;72;929582.582;2.000;0;8738.614332723477;-90.26933272347742
11;42;31;73;Ga;-69699.335;1.677;8693.873;0.023;1598.188;1.678;72;925174.682;1.800;0;8815.623821834544;-121.7508218345447
9;41;32;73;Ge;-71297.523;0.057;8705.049;0.001;-344.776;3.853;72;923458.956;0.061;0;8853.478445778355;-148.42944577835442
7;40;33;73;As;-70952.747;3.853;8689.609;0.053;-2725.360;7.399;72;923829.089;4.136;0;8852.178204554913;-162.56920455491309
5;39;34;73;Se;-68227.387;7.424;8641.558;0.102;-4579.912;10.388;72;926754.883;7.969;0;8811.723098164215;-170.1650981642142
3;38;35;73;Br;-63647.475;7.266;8568.103;0.100;-7095.725;9.801;72;931671.621;7.800;0;8732.113126606266;-164.01012660626657
1;37;36;73;Kr;-56551.751;6.578;8460.184;0.090;-10470;200;72;939289.195;7.061;0;8613.348289881056;-153.1642898810569
-1;36;37;73;Rb;-46082;200;8306.0;3;-14131;448;72;950529;215;0;8455.428587988596;-149.4285879885956
-3;35;38;73;Sr;-31950;401;8102.0;5;*;;72;965700;430;0;8258.354020928882;-156.35402092888216
22;48;26;74;Fe;-19590;600;8061.0;8;13230;781;73;978969;644;-1;7972.08701783793;88.91298216206997
20;47;27;74;Co;-32820;500;8229.0;7;15636;537;73;964766;537;1;8180.185889335309;48.814110664690816
18;46;28;74;Ni;-48456;196;8430.0;3;7550;196;73;947980;210;-1;8420.519569764527;9.48043023547325
16;45;29;74;Cu;-56006.205;6.148;8521.562;0.083;9750.507;6.642;73;939874.862;6.600;1;8552.334161403332;-30.772161403332575
14;44;30;74;Zn;-65756.712;2.515;8642.754;0.034;2292.905;3.910;73;929407.262;2.700;-1;8716.383561973973;-73.62956197397216
12;43;31;74;Ga;-68049.617;2.994;8663.167;0.040;5372.824;2.994;73;926945.726;3.214;1;8771.913873754203;-108.74687375420399
10;42;32;74;Ge;-73422.442;0.013;8725.2;0.000;-2562.387;1.693;73;921177.762;0.013;-1;8859.67899446627;-134.4789944662698
8;41;33;74;As;-70860.054;1.693;8680.001;0.023;1353.147;1.693;73;923928.598;1.817;1;8838.925026387928;-158.92402638792737
6;40;34;74;Se;-72213.201;0.015;8687.715;0.000;-6925.049;5.835;73;922475.935;0.015;-1;8850.40586724142;-162.69086724141926
4;39;35;74;Br;-65288.153;5.835;8583.561;0.079;-2956.317;6.173;73;929910.281;6.264;1;8753.3676193045;-169.8066193044997
2;38;36;74;Kr;-62331.836;2.013;8533.038;0.027;-10415.827;3.424;73;933084.017;2.161;-1;8688.564180299418;-155.52618029941732
0;37;37;74;Rb;-51916.009;3.027;8381.712;0.041;-11089;100;73;944265.868;3.249;1;8515.241652503926;-133.52965250392663
-2;36;38;74;Sr;-40827;100;8221.0;1;*;;73;956170;107;-1;8374.15393364027;-153.15393364026932
23;49;26;75;Fe;-13640;600;7982.0;8;16010;781;74;985357;644;0;7868.142598094314;113.85740190568595
21;48;27;75;Co;-29649;500;8185.0;7;14380;583;74;968170;537;0;8120.498040057816;64.50195994218393
19;47;28;75;Ni;-44030;300;8366.0;4;10441;300;74;952732;322;0;8335.68450498849;30.315495011509483
17;46;29;75;Cu;-54471.341;2.330;8495.094;0.031;8087.567;3.042;74;941522.606;2.501;0;8513.701992886343;-18.60799288634371
15;45;30;75;Zn;-62558.908;1.956;8592.497;0.026;5905.672;3.113;74;932840.246;2.100;0;8654.550503751372;-62.05350375137277
13;44;31;75;Ga;-68464.580;2.422;8660.808;0.032;3392.384;2.422;74;926500.246;2.600;0;8758.230037583577;-97.42203758357573
11;43;32;75;Ge;-71856.965;0.052;8695.609;0.001;1177.231;0.885;74;922858.371;0.055;0;8824.740594382956;-129.13159438295588
9;42;33;75;As;-73034.195;0.884;8700.874;0.012;-864.714;0.882;74;921594.562;0.948;0;8854.082174149513;-153.20817414951307
7;41;34;75;Se;-72169.481;0.073;8678.913;0.001;-3062.472;4.285;74;922522.871;0.078;0;8846.254776883246;-167.34177688324598
5;40;35;75;Br;-69107.009;4.285;8627.649;0.057;-4783.385;9.167;74;925810.570;4.600;0;8801.258402584155;-173.60940258415576
3;39;36;75;Kr;-64323.624;8.104;8553.439;0.108;-7104.929;8.189;74;930945.746;8.700;0;8719.093051252241;-165.6540512522406
1;38;37;75;Rb;-57218.694;1.180;8448.275;0.016;-10600.000;220.000;74;938573.201;1.266;0;8599.7587228875;-151.48372288750033
-1;37;38;75;Sr;-46618.694;220.003;8296.511;2.933;-14799;372;74;949952.770;236.183;0;8443.255417489938;-146.7444174899374
-3;36;39;75;Y;-31820;300;8089.0;4;*;;74;965840;322;0;8249.583135059553;-160.58313505955266
22;49;27;76;Co;-24510;600;8116.0;8;17120;721;75;973687;644;1;8024.175226076522;91.82477392347755
20;48;28;76;Ni;-41630;400;8331.0;5;9346;400;75;955308;429;-1;8282.619956081726;48.38004391827417
18;47;29;76;Cu;-50975.985;6.707;8443.527;0.088;11327.031;6.863;75;945275.025;7.200;1;8437.21408857343;6.312911426570281
16;46;30;76;Zn;-62303.016;1.456;8582.273;0.019;3993.624;2.438;75;933114.957;1.562;-1;8623.192161412173;-40.91916141217371
14;45;31;76;Ga;-66296.640;1.956;8624.526;0.026;6916.249;1.956;75;928827.625;2.100;1;8705.319636737411;-80.79363673741136
12;44;32;76;Ge;-73212.889;0.018;8705.236;0.000;-921.512;0.886;75;921402.726;0.019;-1;8818.831052409687;-113.5950524096861
10;43;33;76;As;-72291.377;0.886;8682.816;0.012;2960.573;0.886;75;922392.010;0.951;1;8828.491870568461;-145.6758705684606
8;42;34;76;Se;-75251.950;0.016;8711.477;0.000;-4962.881;9.322;75;919213.704;0.017;-1;8869.536629074273;-158.05962907427238
6;41;35;76;Br;-70289.068;9.322;8635.882;0.123;-1275.355;10.149;75;924541.577;10.007;1;8806.730790066586;-170.84879006658593
4;40;36;76;Kr;-69013.714;4.013;8608.807;0.053;-8534.633;4.121;75;925910.726;4.308;-1;8775.308891405935;-166.50189140593466
2;39;37;76;Rb;-60479.081;0.938;8486.215;0.012;-6231.442;34.478;75;935073.032;1.006;1;8640.036395231784;-153.82139523178375
0;38;38;76;Sr;-54247.639;34.465;8393.929;0.453;-15768;302;75;941762.761;37.000;-1;8536.147839404668;-142.21883940466796
-2;37;39;76;Y;-38480;300;8176.0;4;*;;75;958690;322;1;8328.408686064051;-152.40868606405093
23;50;27;77;Co;-21015;600;8070.0;8;15785;781;76;977440;644;0;7959.770820849628;110.22917915037215
21;49;28;77;Ni;-36800;500;8265.0;6;11824;522;76;960494;537;0;8193.30048341537;71.69951658462924
19;48;29;77;Cu;-48624;149;8408.0;2;10165;149;76;947800;160;0;8391.49686806733;16.50313193266993
17;47;30;77;Zn;-58789.195;1.973;8530.003;0.026;7203.149;3.124;76;936887.199;2.117;0;8554.359974805506;-24.35697480550516
15;46;31;77;Ga;-65992.344;2.422;8613.39;0.031;5220.518;2.422;76;929154.300;2.600;0;8681.889803629896;-68.49980362989663
13;45;32;77;Ge;-71212.862;0.053;8671.028;0.001;2703.456;1.694;76;923549.844;0.056;0;8774.086354540503;-103.05835454050248
11;44;33;77;As;-73916.318;1.693;8695.978;0.022;683.170;1.693;76;920647.564;1.817;0;8830.949627537326;-134.97162753732664
9;43;34;77;Se;-74599.488;0.062;8694.69;0.001;-1364.680;2.810;76;919914.150;0.067;0;8852.479622620365;-157.78962262036475
7;42;35;77;Br;-73234.809;2.811;8666.806;0.037;-3065.366;3.424;76;921379.194;3.017;0;8838.676339789617;-171.870339789617
5;41;36;77;Kr;-70169.443;1.956;8616.836;0.025;-5338.951;2.351;76;924670.000;2.100;0;8789.539779045088;-172.7037790450886
3;40;37;77;Rb;-64830.492;1.304;8537.339;0.017;-7027.055;8.024;76;930401.600;1.400;0;8705.069940386775;-167.73094038677482
1;39;38;77;Sr;-57803.436;7.918;8435.918;0.103;-11365;203;76;937945.455;8.500;0;8585.266823814676;-149.3488238146765
-1;38;39;77;Y;-46439;203;8278.0;3;-14399;448;76;950146;218;0;8430.130429328794;-152.13042932879398
-3;37;40;77;Zr;-32040;400;8081.0;5;*;;76;965604;429;0;8239.660756929128;-158.66075692912818
22;50;28;78;Ni;-33890;600;8225.0;8;10608;783;77;963618;644;-1;8134.955764405858;90.04423559414226
20;49;29;78;Cu;-44497.469;503.007;8350.925;6.449;12985.766;503.011;77;952230.000;540.000;1;8309.872336602308;41.052663397691504
18;48;30;78;Zn;-57483.235;1.944;8507.379;0.025;6222.716;2.719;77;938289.205;2.086;-1;8515.355226795784;-7.976226795783077
16;47;31;78;Ga;-63705.950;1.903;8577.127;0.024;8156.099;4.015;77;931608.845;2.043;1;8621.337739781984;-44.21073978198365
14;46;32;78;Ge;-71862.050;3.536;8671.663;0.045;954.890;10.400;77;922852.912;3.795;-1;8757.886570765208;-86.22357076520711
12;45;33;78;As;-72816.940;9.781;8673.875;0.125;4209.004;9.782;77;921827.795;10.500;1;8794.935024541157;-121.06002454115696
10;44;34;78;Se;-77025.944;0.179;8717.806;0.002;-3573.784;3.575;77;917309.243;0.191;-1;8862.549796314132;-144.74379631413103
8;43;35;78;Br;-73452.160;3.580;8661.959;0.046;726.116;3.584;77;921145.859;3.842;1;8830.664190879832;-168.7051908798312
6;42;36;78;Kr;-74178.275;0.307;8661.238;0.004;-7242.857;3.252;77;920366.341;0.329;-1;8829.344903442558;-168.10690344255818
4;41;37;78;Rb;-66935.419;3.237;8558.35;0.042;-3761.477;8.125;77;928141.868;3.475;1;8728.525238798007;-170.17523879800683
2;40;38;78;Sr;-63173.941;7.452;8500.096;0.096;-11001;298;77;932179.980;8.000;-1;8658.271892150482;-158.17589215048247
0;39;39;78;Y;-52173;298;8349.0;4;-11323;499;77;943990;320;1;8488.51816829568;-139.51816829568088
-2;38;40;78;Zr;-40850;400;8194.0;5;*;;77;956146;429;-1;8349.330762437907;-155.33076243790674
23;51;28;79;Ni;-27570;600;8143.0;8;14170;671;78;970402;644;0;8042.1435353425395;100.85646465746049
21;50;29;79;Cu;-41740;300;8312.0;4;11692;300;78;955190;322;0;8258.289418811371;53.71058118862857
19;49;30;79;Zn;-53432.295;2.225;8450.582;0.028;9115.384;2.901;78;942638.068;2.388;0;8440.80240190003;9.779598099970826
17;48;31;79;Ga;-62547.679;1.868;8556.063;0.024;6978.913;37.147;78;932852.301;2.005;0;8589.682484608515;-33.61948460851454
15;47;32;79;Ge;-69526.592;37.181;8634.501;0.471;4109.457;37.456;78;925360.129;39.915;0;8704.929666936823;-70.42866693682299
13;46;33;79;As;-73636.049;5.328;8676.616;0.067;2281.410;5.331;78;920948.445;5.719;0;8786.54394888496;-109.92794888496064
11;45;34;79;Se;-75917.459;0.223;8695.592;0.003;150.576;1.038;78;918499.251;0.238;0;8834.525330452921;-138.93333045292093
9;44;35;79;Br;-76068.035;1.021;8687.594;0.013;-1625.778;3.333;78;918337.601;1.095;0;8848.87381164071;-161.27981164071025
7;43;36;79;Kr;-74442.257;3.486;8657.112;0.044;-3639.271;4.092;78;920082.945;3.742;0;8829.58939244832;-172.47739244832155
5;42;37;79;Rb;-70802.985;2.142;8601.142;0.027;-5326.096;8.653;78;923989.864;2.300;0;8776.672072875761;-175.5300728757611
3;41;38;79;Sr;-65476.889;8.383;8523.82;0.106;-7659.056;79.620;78;929707.664;9.000;0;8690.121852923026;-166.30185292302667
1;40;39;79;Y;-57817.833;79.177;8416.967;1.002;-11048;310;78;937930.000;85.000;0;8569.938732590117;-152.97173259011652
-1;39;40;79;Zr;-46770;300;8267.0;4;-15120;583;78;949790;322;0;8416.122711877031;-149.12271187703118
-3;38;41;79;Nb;-31650;500;8066.0;6;*;;78;966022;537;0;8228.673790783774;-162.67379078377417
24;52;28;80;Ni;-22630;700;8080.0;9;13570;806;79;975706;751;-1;7979.508864296433;100.49113570356712
22;51;29;80;Cu;-36200;400;8240.0;5;15449;400;79;961138;429;1;8172.568555161117;67.43144483888318
20;50;30;80;Zn;-51648.612;2.585;8423.545;0.032;7575.055;3.877;79;944552.930;2.774;-1;8395.40883860806;28.136161391939822
18;49;31;80;Ga;-59223.667;2.891;8508.454;0.036;10311.639;3.541;79;936420.774;3.103;1;8522.809907897283;-14.355907897283032
16;48;32;80;Ge;-69535.306;2.054;8627.57;0.026;2679.187;3.915;79;925350.774;2.205;-1;8679.991569768768;-52.42156976876868
14;47;33;80;As;-72214.493;3.333;8651.28;0.042;5544.964;3.445;79;922474.548;3.577;1;8741.734017482528;-90.45401748252698
12;46;34;80;Se;-77759.457;0.963;8710.813;0.012;-1870.464;0.310;79;916521.785;1.034;-1;8833.257057778552;-122.44405777855172
10;45;35;80;Br;-75888.993;1.012;8677.653;0.013;2004.353;1.154;79;918529.810;1.086;1;8829.340883916853;-151.68788391685302
8;44;36;80;Kr;-77893.346;0.691;8692.928;0.009;-5717.879;1.987;79;916378.048;0.742;-1;8855.205302637414;-162.27730263741432
6;43;37;80;Rb;-72175.467;1.863;8611.675;0.023;-1864.009;3.933;79;922516.444;2.000;1;8785.630507200252;-173.95550720025312
4;42;38;80;Sr;-70311.459;3.464;8578.596;0.043;-9163.307;7.139;79;924517.540;3.718;-1;8745.836304345354;-167.24030434535416
2;41;39;80;Y;-61148.152;6.242;8454.275;0.078;-6788;300;79;934354.755;6.701;1;8610.602887332732;-156.32788733273264
0;40;40;80;Zr;-54360;300;8360.0;4;-15940;500;79;941642;322;-1;8505.15006290237;-145.15006290237034
-2;39;41;80;Nb;-38420;400;8151.0;5;*;;79;958754;429;1;8304.25802431429;-153.2580243142893
23;52;29;81;Cu;-31420;500;8179.0;6;14779;500;80;966269;537;0;8116.153604694827;62.846395305173246
21;51;30;81;Zn;-46199.663;5.030;8351.925;0.062;11428.292;5.996;80;950402.619;5.400;0;8316.216677911292;35.708322088707064
19;50;31;81;Ga;-57627.954;3.264;8483.357;0.040;8663.733;3.851;80;938133.842;3.503;0;8484.224973530158;-0.867973530157542
17;49;32;81;Ge;-66291.687;2.055;8580.658;0.025;6241.617;3.344;80;928832.942;2.205;0;8620.17849155142;-39.52049155142049
15;48;33;81;As;-72533.304;2.644;8648.056;0.033;3855.684;2.812;80;922132.290;2.838;0;8724.077231975085;-76.02123197508445
13;47;34;81;Se;-76388.988;0.992;8685.999;0.012;1588.046;1.389;80;917993.044;1.065;0;8795.921194801149;-109.92219480114909
11;46;35;81;Br;-77977.034;0.978;8695.946;0.012;-280.853;0.471;80;916288.206;1.049;0;8835.710380029612;-139.76438002961186
9;45;36;81;Kr;-77696.181;1.074;8682.82;0.013;-2239.511;5.019;80;916589.714;1.152;0;8843.444787660474;-160.62478766047388
7;44;37;81;Rb;-75456.670;4.904;8645.513;0.061;-3928.545;5.817;80;918993.927;5.264;0;8819.124417693736;-173.61141769373535
5;43;38;81;Sr;-71528.125;3.128;8587.354;0.039;-5815.214;6.245;80;923211.394;3.358;0;8762.749270129398;-175.39527012939834
3;42;39;81;Y;-65712.912;5.405;8505.902;0.067;-8252.773;94.236;80;929454.283;5.802;0;8674.31934496746;-168.41734496745994
1;41;40;81;Zr;-57460.139;94.081;8394.358;1.161;-11100;411;80;938314.000;101.000;0;8553.83464220792;-159.4766422079192
-1;40;41;81;Nb;-46360;400;8248.0;5;-14610;640;80;950230;429;0;8401.295161850781;-153.29516185078137
-3;39;42;81;Mo;-31750;500;8058.0;6;*;;80;965915;537;0;8216.70090389604;-158.70090389604047
24;53;29;82;Cu;-25320;600;8103.0;7;16994;600;81;972818;644;1;8027.21373845616;75.78626154383983
22;52;30;82;Zn;-42313.954;3.074;8301.117;0.037;10616.764;3.916;81;954574.099;3.300;-1;8265.504464576003;35.61253542399754
20;51;31;82;Ga;-52930.719;2.426;8421.049;0.030;12484.348;3.296;81;943176.533;2.604;1;8412.153962294537;8.895037705464347
18;50;32;82;Ge;-65415.067;2.241;8563.756;0.027;4690.352;4.345;81;929774.033;2.405;-1;8587.828874737448;-24.07287473744873
16;49;33;82;As;-70105.419;3.729;8611.414;0.045;7488.463;3.758;81;924738.733;4.003;1;8671.862558779048;-60.448558779047744
14;48;34;82;Se;-77593.882;0.467;8693.196;0.006;-95.221;1.077;81;916699.537;0.500;-1;8784.921657545026;-91.72565754502648
12;47;35;82;Br;-77498.661;0.971;8682.494;0.012;3093.124;0.971;81;916801.760;1.042;1;8806.339527909699;-123.84552790969792
10;46;36;82;Kr;-80591.78515;0.00549;8710.675;0.000;-4403.982;3.009;81;913481.15520;0.00589;-1;8856.782812998745;-146.10781299874543
