N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;A2;atomic_mass;atomic_mass_unc;delta;delta_I4;bind_ene_total;bind_ene_teo;bind_ene_teo_total;Diff_bind_ene;Diff_bind_ene_total;atomic_mass_teo;atomic_mass_calc;Diff_atomic_mass;mass_excess_calc;Diff_mass_excess;bind_ene_calc;Diff_bind_ene_calcs;B_e;M_N_teo;M_N_exp;Diff_nuclear_mass
26;57;31;88;Ga;-22390.0;500;8.05;6;17129;640;87;81949.09080358887;0.50021233369764;1;-1;708.4000000000001;8.021583034475016;705.8993070338014;0.028416965524984406;2.5006929661986987;81951.60505383977;81949.10436087358;-0.01355728470662143;-22390.32377112413;0.3237711241308716;8.050154060053417;-0.0001540600534166714;0.053097876708818555;81935.81718424508;81933.30293399419;-2.514250250897021
0;51;51;102;Sb;-51100.0;400;8.181;4;*;;101;94961.29867589811;0.39961097049587996;1;-1;834.4619999999999;8.08677462038317;824.8510112790834;0.09422537961682842;9.610988720916453;94970.9223147198;94961.31132599889;-0.012650100776227191;-51099.90354188113;-0.09645811886730371;8.18112402059584;-0.00012402059584104563;0.17614537945466716;94945.03751361408;94935.41387479239;-9.62363882169302
30;67;37;104;Rb;-27450.0;500;8.057;5;16310;583;103;96847.93658713748;0.50021233369764;1;-1;837.928;8.068365663714498;839.1100290263079;-0.011365663714498098;-1.1820290263078732;96846.74699855177;96847.92902757808;0.00755955939530395;-27450.199742530232;0.19974253023247002;8.05692731192889;7.268807111060482e-05;0.08120027944291754;96827.92123765568;96829.11082624139;1.1895885857084068
0;52;52;104;Te;-49626.831;317.609;8.1573256;3.0539;*;;103;96825.7599555657;0.3176087500630972;-1;1;848.3618624000001;8.079997359070363;840.3197253433178;0.07732824092963675;8.042137056682236;96833.80209724378;96825.7599601871;-4.621397238224745e-06;-49626.83131429902;0.00031429902446689084;8.157325644436451;-4.443645096330329e-08;0.184644435472131;96807.41479624338;96799.3726545653;-8.042141678073676
0;53;53;106;I;-43300.0;400;8.089;4;*;;105;98695.07542240268;0.39961097049587996;1;-1;857.4340000000001;8.034608570639245;851.6685084877599;0.054391429360755694;5.765491512240146;98700.80181068755;98695.03631917531;0.03910322736192029;-43299.57191732666;-0.4280826733374852;8.088631101628604;0.0003688983713967531;0.19338773273850673;98673.91225403373;98668.18586574885;-5.72638828487834
0;54;54;108;Xe;-42632.357;379.497;8.0748886;3.5139;*;;107;100558.73084509675;0.3794962868201503;-1;1;872.0879688;8.026313265176992;866.8418326391151;0.04857533482300802;5.24613616088493;100563.97698312442;100558.73084696353;-1.8667778931558132e-06;-42632.35666324752;-0.0003367524841451086;8.074888617284968;-1.7284968123476574e-08;0.2023782777170466;100536.58541806487;100531.33928003721;-5.246138027665438
33;73;40;113;Zr;-26340.0;300;8.027;3;13870;500;112;105232.4938615891;0.29994110139783997;0;0;907.0509999999999;8.034768240178254;907.9288111401427;-0.007768240178254615;-0.8778111401427395;105231.66997158398;105232.54778272411;-0.05392113501147833;-26339.858770893024;-0.1412291069755156;8.027477178186002;-0.0004771781860029023;0.09795082862197252;105211.32796438501;105212.15185439013;0.8238900051219389
34;75;41;116;Nb;-25230.0;300;8.012;3;15980;583;115;108028.08558222663;0.29994110139783997;1;-1;929.392;8.012009266990372;929.3930749708832;-9.266990371514794e-06;-0.001074970883109927;108028.11962613526;108028.12070110613;-0.03511887950298842;-25230.449293370417;0.4492933704168536;8.012302748961293;-0.0003027489612925649;0.10395197947498747;108007.27262113644;108007.2385772278;-0.03404390862851869
35;77;42;119;Mo;-26580.0;300;8.019;3;13590;583;118;110821.21815843035;0.29994110139783997;0;0;954.261;8.005438634462433;952.6471975010295;0.013561365537567482;1.6138024989704718;110822.77942198713;110821.16561948817;0.05253894218185451;-26580.184249654933;0.18424965493250056;8.018558496284175;0.0004415037158249646;0.11016640990872416;110801.42763246805;110799.86636891127;-1.5612635567813413
36;79;43;122;Tc;-26305.0;300;8.011;2;15475;583;121;113615.97526035094;0.29994110139783997;1;-1;977.3419999999999;7.983080412012068;973.9358102654724;0.027919587987931038;3.4061897345275156;113619.40472760472;113615.99853787018;-0.023277519241673872;-26305.393489062975;0.3934890629752772;8.011190799338081;-0.00019079933808185956;0.11659681669254933;113597.54836954174;113594.11890228796;-3.429467253779876
37;81;44;125;Ru;-28370.0;300;8.023;2;13460;583;124;116408.39338057711;0.29994110139783997;0;0;1002.875;7.975734694400001;996.9668368000001;0.047265305599998975;5.908163199999876;116414.28761945221;116408.37945625221;0.013924324899562635;-28369.584422897184;-0.41557710281631444;8.022888605400803;0.0001113945991964016;0.12324591305406975;116391.9269115349;116386.0326726598;-5.894238875102019
38;83;45;128;Rh;-27340.0;300;8.01;2;17050;583;127;119203.90499272171;0.29994110139783997;1;-1;1025.28;7.9537295077401255;1018.0773769907361;0.05627049225987424;7.2026230092639025;119211.09099764349;119203.88837463423;0.01661808748031035;-27340.283438290804;0.2834382908040425;8.009870171191551;0.0001298288084488064;0.13011643114154953;119188.22616129358;119181.0401563718;-7.186004921779386
38;84;46;130;Pd;-32730.0;300;8.046;2;13168;520;129;121061.5035752776;0.29994110139783997;-1;1;1045.98;7.992249995419155;1038.9924994044902;0.05375000458084411;6.9875005955098;121068.52437181796;121061.53687122244;-0.03329594484239351;-32729.90832240196;-0.09167759804040543;8.046256122652602;-0.00025612265260299694;0.13721112443705802;121045.15563121065;121038.1348346703;-7.020796540353331
39;85;46;131;Pd;-25740.0;300;7.993;2;15010;583;130;121999.9876107519;0.29994110139783997;0;0;1047.083;7.945697219423039;1040.8863357444181;0.04730278057696147;6.196664255581936;122006.19595727183;121999.99929301626;-0.011682264361297712;-25739.976568102844;-0.023431897156115156;7.993089177590535;-8.917759053428398e-05;0.13721112443705802;121982.82721666453;121976.6188701446;-6.208346519939369
39;86;47;133;Ag;-29080.0;500;8.013;4;15059;539;132;123859.63548033597;0.50021233369764;0;0;1065.729;7.969261539489574;1059.9117847521134;0.043738460510425625;5.817215247886679;123865.51900485235;123859.70178960446;-0.06630926848447416;-29080.31442402816;0.31442402816173853;8.013498565928504;-0.0004985659285043909;0.14453277012503518;123841.64658694004;123835.76306242366;-5.8835245163791114
39;87;48;135;Cd;-32820.0;400;8.036;3;14290;500;134;125718.88373894953;0.39961097049587996;0;0;1084.86;7.990217225920723;1078.6793254992976;0.04578277407927622;6.180674500702253;125725.09996069336;125718.91928619266;-0.0355472431256203;-32820.26325047295;0.26325047294812975;8.036263312912046;-0.0002633129120468425;0.15208417142048256;125700.72409523166;125694.50787348783;-6.216221743830829
40;90;50;140;Sn;-34490.0;300;8.038;2;9900;671;139;130374.68408862157;0.29994110139783997;-1;1;1125.32;7.996960459289416;1119.5744643005182;0.041039540710584355;5.745535699481707;130380.46723686239;130374.7217011629;-0.03761254133132752;-34490.432178435614;0.43217843561433256;8.038268661009559;-0.0002686610095583575;0.16788759756305652;130355.08517692545;130349.30202868463;-5.783148240821902
40;91;51;142;Sb;-33610.0;300;8.027;2;12939;583;141;132238.55255798958;0.29994110139783997;1;-1;1139.8339999999998;8.000261296063751;1136.0371040410528;0.026738703936247887;3.7968959589470614;132242.35309371006;132238.5561977511;-0.0036397615331225097;-33610.170250418785;0.17025041878514457;8.027025632123491;-2.56321234921586e-05;0.17614537945466716;132216.46829260432;132212.66775688383;-3.800535720482003
40;92;52;144;Te;-36220.0;300;8.04;2;9110;500;143;134098.93071895096;0.29994110139783997;-1;1;1157.7599999999998;8.025523297761758;1155.6753548776933;0.014476702238241046;2.0846451223064832;134101.06333946163;134098.9786943393;-0.04797538835555315;-36220.21672904468;0.21672904468141496;8.0403331624192;-0.0003331624192011162;0.184644435472131;134074.6760384612;134072.54341795054;-2.1326205106743146
41;93;52;145;Te;-30010.0;300;7.998;2;11120;583;144;135036.63509386044;0.29994110139783997;0;0;1159.71;7.987690028026998;1158.2150540639147;0.010309971973001986;1.494945936085287;135038.08906206922;135036.59411613314;0.04097772730165161;-30009.94553954987;-0.05446045013013645;7.99771739498407;0.0002826050159301374;0.184644435472131;135011.7017610688;135010.24779286003;-1.453968208777951
40;93;53;146;I;-35540.0;300;8.031;2;12415;301;145;135962.59891708664;0.29994110139783997;1;-1;1172.526;8.025253169644266;1171.6869627680628;0.0057468303557346445;0.8390372319372545;135963.40022815947;135962.56119092752;0.03772615912021138;-35540.226033351515;0.22603335151507054;8.030741601649948;0.00025839835005214695;0.19338773273850673;135936.51067150562;135935.70936043278;-0.8013110728352331
