N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;A2;atomic_mass;atomic_mass_unc;delta;delta_I4;bind_ene_total;bind_ene_teo;bind_ene_teo_total;Diff_bind_ene;Diff_bind_ene_total;atomic_mass_teo;atomic_mass_calc;Diff_atomic_mass;mass_excess_calc;Diff_mass_excess;bind_ene_calc;Diff_bind_ene_calcs;B_e;M_N_teo;M_N_exp;Diff_nuclear_mass
28;65;37;102;Rb;-37252.312;82.903;8.1527443;0.8128;14906.9991;106.6347;101;94975.14626724402;0.08290297523107999;1;-1;831.5799186;8.103848788507904;826.5925764278062;0.04889551149209659;4.9873421721938485;94980.1336142638;94975.14627209162;-4.847592208534479e-06;-37252.312195981634;0.00019598163635237142;8.152744347525346;-4.7525345436838506e-08;0.08120027944291754;94961.30785336772;94956.32050634794;-4.987347019778099
0;52;52;104;Te;-49626.831;317.609;8.1573256;3.0539;*;;103;96825.7599555657;0.3176087500630972;-1;1;848.3618624000001;8.053881807289686;837.6037079581274;0.10344379271031379;10.758154441872648;96836.51812712589;96825.75997268403;-1.7118320101872087e-05;-49626.83131429902;0.00031429902446689084;8.157325764599172;-1.645991716259232e-07;0.184644435472131;96810.13082612549;96799.3726545653;-10.758171560184564
0;54;54;108;Xe;-42632.357;379.497;8.0748886;3.5139;*;;107;100558.73084509675;0.3794962868201503;-1;1;872.0879688;8.000876017041614;864.0946098404943;0.07401258295838531;7.993358959505713;100566.72421890059;100558.73085994109;-1.4844335964880884e-05;-42632.35666324752;-0.0003367524841451086;8.074888737447543;-1.3744754312483565e-07;0.2023782777170466;100539.33265384105;100531.33928003721;-7.99337380383804
10;62;52;114;Te;-81889.676;24.428;8.432788500000001;0.2143;-9250.7417;31.5883;113;106108.4381467648;0.02442750137595328;-1;1;961.3378890000001;8.427666906181182;960.7540273046548;0.005121593818818937;0.5838616953453766;106109.02202493495;106108.43816323961;-1.6474805306643248e-05;-81889.67731518787;0.0013151878665667027;8.432788644515854;-1.4451585350627738e-07;0.184644435472131;106082.63472393455;106082.0508457644;-0.5838781701459084
8;61;53;114;I;-72638.935;20.027;8.344779;0.1757;-5553.0360;22.9354;113;106117.6888892284;0.020027123229979998;1;-1;951.3048060000001;8.340052435855469;950.7659776875234;0.004726564144531764;0.5388283124766531;106118.2277279495;106117.68889963703;-1.04086211649701e-05;-72638.9348516019;-0.00014839810319244862;8.344779091303696;-9.130369527099447e-08;0.19338773273850673;106091.33817129568;106090.79933257458;-0.5388387210987275
36;84;48;132;Cd;-50465.429;60.068;8.1691421;0.4551;11946.1243;84.9236;131;122906.75626166596;0.06006739727838419;-1;1;1078.3267572;8.062624609412095;1064.2664484423965;0.10651749058790472;14.06030875760348;122920.81658108762;122906.75627233002;-1.0664065484888852e-05;-50465.429374039086;0.00037403908936539665;8.169142180788405;-8.078840529890385e-08;0.15208417142048256;122896.44071562593;122882.38039620426;-14.060319421667373
38;94;56;150;Ba;-49889.799;5.682;8.1118405;0.0379;6421.3477;6.2138;149;139674.22575844827;0.0056821140326919995;-1;1;1216.776075;8.086796896714613;1213.019534507192;0.02504360328538624;3.7565404928079715;139677.98231308226;139674.22577258945;-1.4141172869130969e-05;-49889.7995517147;0.0005517147001228295;8.111840594274497;-9.427449754184636e-08;0.22111334614726477;139649.58748518975;139645.83093055576;-3.756554633990163
38;97;59;156;Pr;-51449.307;1.025;8.1052337;0.0066;8752.8229;1.6585;155;145261.6308733398;0.001024643514092;1;-1;1264.4164572;8.082358493519893;1260.8479249891031;0.02287520648010677;3.5685322108968194;145265.19941308597;145261.63088087508;-7.535272743552923e-06;-51449.30698018595;-1.9814047846011817e-05;8.105233748302943;-4.8302943866929127e-08;0.25114796565572306;145235.30162296092;145231.73308321476;-3.5685397461638786
39;98;59;157;Pr;-48434.806;3.167;8.085817;0.0202;8059.3109;3.8207;156;146196.1394782783;0.0031670799526479997;0;0;1269.473269;8.064642898484717;1266.1489350621005;0.02117410151528354;3.3243339378996097;146199.4638247285;146196.1394907906;-1.2512318789958954e-05;-48434.80576172406;-0.00023827593395253643;8.085817079696357;-7.96963561811026e-08;0.25114796565572306;146169.56603460346;146166.24168815324;-3.324346450215671
38;98;60;158;Nd;-53835.123;1.304;8.1149529;0.0083;5271.0196;1.5776;157;147122.23326356185;0.001304091745208;-1;1;1282.1625582000001;8.094433644760256;1278.9205158721204;0.020519255239744183;3.2420423278797443;147125.47531903148;147122.2332767036;-1.3141747331246734e-05;-53835.124198143814;0.001198143814690411;8.114952983175694;-8.3175693887938e-08;0.2616876023281217;147095.0770695924;147091.83501412277;-3.242055469629122
