N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;A2;atomic_mass;atomic_mass_unc;delta;delta_I4;bind_ene_total;bind_ene_teo;bind_ene_teo_total;Diff_bind_ene;Diff_bind_ene_total;atomic_mass_teo;atomic_mass_calc;Diff_atomic_mass;mass_excess_calc;Diff_mass_excess;bind_ene_calc;Diff_bind_ene_calcs;B_e;M_N_teo;M_N_exp;Diff_nuclear_mass
20;40;20;60;Ca;11000.0;700;7.627;12;15550;860;60;55900.64623707083;0.6995520718937199;-1;1;457.62;7.41049899475373;444.6299396852238;0.21650100524627014;12.990060314776201;55913.64843119675;55900.658370881974;-0.012133811142120976;11000.013870835646;-0.013870835646230262;7.627202230185746;-0.00020223018574583307;0.018591031013663304;55903.447043213964;55890.444849088046;-13.002194125918322
21;41;20;61;Ca;19010.0;800;7.503;13;18510;1000;61;56840.150258588714;0.80015343509548;0;0;457.683;7.26229936178244;443.00026106872883;0.24070063821756005;14.68273893127116;56854.8435315288;56840.16079259753;-0.01053400881937705;19009.931668714227;0.06833128577272873;7.5031726886691255;-0.00017268866912534264;0.018591031013663304;56844.642143546014;56829.94887060593;-14.6932729400869
20;41;21;62;Sc;7310.0;600;7.688;10;19510;721;62;57759.94479636599;0.5998822027956799;1;-1;476.656;7.506484812349945;465.4020583656966;0.1815151876500547;11.25394163430343;57771.224809344814;57759.97086771051;-0.026071344516822137;7310.365725990495;-0.365725990494866;7.688420505556766;-0.0004205055567663152;0.020892837153015268;57760.51472421747;57749.23471123865;-11.280012978822924
21;42;21;63;Sc;13070.0;700;7.603;11;18930;860;63;58697.19832812929;0.6995520718937199;0;0;478.989;7.416436452469625;467.2354965055864;0.1865635475303744;11.753503494413565;58708.95679292049;58697.20328942608;-0.0049612967850407586;13069.793769291302;0.20623070869805815;7.603078750742642;-7.875074264251936e-05;0.020892837153015268;58698.24670779315;58686.48824300195;-11.758464791200822
-5;29;34;63;Se;-16850.0;500;7.917;8;*;;62;58667.27873751781;0.50021233369764;0;0;498.771;7.868982933320645;495.7459247992006;0.048017066679355125;3.0250752007993924;58670.27585879332;58667.25078359252;0.02795392528787488;-16849.796842194202;-0.20315780579767306;7.916556286900202;0.00044371309979762685;0.06627320159001257;58652.96816767145;58649.97104639594;-2.997121275511745
21;43;22;65;Ti;5210.0;700;7.726;11;17320;860;65;60552.326588322096;0.6995520718937199;0;0;502.19;7.553441930182199;490.97372546184295;0.17255806981780086;11.216274538157052;60563.56706079277;60552.35078625461;-0.024197932514653075;5209.846522097028;0.15347790297164465;7.726372275884876;-0.00037227588487631635;0.02335285937035907;60552.34843673695;60541.10796426628;-11.240472470672103
-5;30;35;65;Br;-16490.0;500;7.904;8;*;;64;60530.62650168185;0.50021233369764;0;0;513.76;7.86990846810012;511.5440504265078;0.03409153189987979;2.215949573492196;60532.82622999455;60530.61028042105;0.01622126079746522;-16490.240118152702;0.2401181527020526;7.903750442141609;0.0002495578583907587;0.07105071077183776;60515.012317431174;60512.812589118475;-2.1997283126984257
-4;31;35;66;Br;-23570.0;400;8.014;6;*;;65;61455.041250213566;0.39961097049587996;1;-1;528.924;7.987367461116042;527.1662524336588;0.026632538883957224;1.7577475663412088;61456.76944970296;61455.01170213662;0.029548076949140523;-23569.595306434676;-0.4046935653241235;8.013552301864394;0.0004476981356056342;0.07105071077183776;61438.95553713958;61437.22733765019;-1.728199489392864
-5;31;36;67;Kr;-15552.0;424;7.883;6;*;;66;62394.553655178395;0.4238298171926;0;0;528.161;7.8686070303472695;527.1966710332671;0.014392969652730514;0.9643289667328645;62395.52210621633;62394.557777249596;-0.004122071200981736;-15551.29406160407;-0.7059383959294792;7.8830615234507615;-6.152345076149146e-05;0.07602551897768679;62377.20216951047;62376.23371847253;-0.9684510379374842
-4;32;36;68;Kr;-25626.0;500;8.034;7;*;;67;63315.97271867256;0.50021233369764;-1;1;546.312;8.024940385115745;545.6959461878706;0.009059614884256106;0.6160538121293939;63316.588252777285;63315.97219896516;0.0005197073987801559;-25626.334287444704;0.33428744470438687;8.033992357244108;7.64275589304475e-06;0.07602551897768679;63298.26831607142;63297.652781966695;-0.6155341047269758
