N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;A2;atomic_mass;atomic_mass_unc;delta;delta_I4;bind_ene_total;bind_ene_teo;bind_ene_teo_total;Diff_bind_ene;Diff_bind_ene_total;atomic_mass_teo;atomic_mass_calc;Diff_atomic_mass;mass_excess_calc;Diff_mass_excess;bind_ene_calc;Diff_bind_ene_calcs;B_e;M_N_teo;M_N_exp;Diff_nuclear_mass;M_N_ws4;WS4_diff;bind_ene_n+2_exp;bind_ene_n-2_exp;delta_2n_exp;bind_ene_p+2_exp;bind_ene_p-2_exp;delta_2p_exp;bind_ene_n+2_teo;bind_ene_n-2_teo;delta_2n_teo;bind_ene_p+2_teo;bind_ene_p-2_teo;delta_2p_teo
14;83;69;152;Tm;-51720.273;54.027;8.056438;0.355;-5449.892;139.62;151;141535.38348682504;0.05402665801576;1;-1;1224.578576;8.03698672359323;1221.621981986171;0.0194512764067695;2.9565940138288624;141538.34020320087;141535.38360918703;-0.0001223619910888;-51720.2786149676;0.005614967602014;8.056438805013098;-8.050130979597725e-07;0.3690953401271314;141503.4503709434;141500.49365456757;-2.956716375832912;141500.21093318253;0.28272138503962196;1243.428032;1203.15;-2.5791200000001027;1227.226;1220.2262999999998;-1.704852000000301;1242.2414631284726;1200.035855849594;-0.9666449942753843;1223.4019009825;1217.7648073038283;-2.077255686013814
12;82;70;152;Yb;-46270.381;149.708;8.015436;0.985;-12848;246.0;151;141540.83337937767;0.1497078693616709;-1;1;1218.346272;7.983131186150678;1213.435940294903;0.0323048138493211;4.910331705096951;141545.74389828954;141540.83356658445;-0.0001872067805379;-46270.38606233642;0.0050623364222701;8.015437231623524;-1.2316235249443253e-06;0.3824909250766485;141510.35646266633;141505.44594375446;-4.910518911870895;141505.6964298168;-0.25048606234486215;1238.1506060000002;1194.6;-3.9419379999999364;1219.372;1215.32925;-1.9912939999999253;1235.146122096187;1190.7306274852122;-0.9951310084070428;1213.567811919557;1211.2625458725972;-2.041522797651851
10;81;71;152;Lu;-33422.0;196.0;7.926;1.0;*;;151;141553.6817569985;0.1956137617812;1;-1;1204.752;7.898445165037859;1200.5636650857546;0.0275548349621415;4.188334914245388;141557.8338268961;141553.64549198185;0.0362650166498497;-33422.00844149234;0.0084414923403528;7.925761414364196;0.0002385856358042;0.3961928994731339;141521.94909429658;141517.79702439898;-4.152069897594629;141517.74183284046;0.05519155852380209;1227.226;1179.75;-2.5279999999997926;;1203.15;;1223.4019009825;1176.7009705290586;-1.0244586599505965;;1200.035855849594;
41;97;56;153;Ba;-36470.0;400.0;8.023;3.0;9590;500.0;152;142482.12801201115;0.3996109704958799;0;0;1227.519;8.02753692319978;1228.2131492495662;-0.0045369231997796;-0.6941492495661805;142481.48496348658;142482.17911273614;-0.0511007249879185;-36469.85714884675;-0.1428511532503762;8.02333399166659;-0.00033399166659;0.2211133461472647;142453.09013559407;142453.73318411864;0.6430485245655291;142453.99624126748;-0.26305714884074405;;1219.929;;1253.485;;;;1220.1633661768742;;1253.2946853099406;;
39;96;57;153;La;-46060.0;300.0;8.081;2.0;8850;361.0;152;142472.53828021334;0.2999411013978399;0;0;1236.393;8.083889308903187;1236.8350642621876;-0.0028893089031871;-0.4420642621876141;142472.0807018714;142472.52276613357;0.0155140797724016;-46059.58894665672;-0.4110533432831289;8.080898600785872;0.0001013992141274;0.2308640983376405;142443.18462578038;142443.64220412233;0.4575783419422805;142443.798393069;-0.1561889466829598;1244.34;1227.485493;-0.9605070000002343;1260.311045;1209.963;-2.511955000000171;1245.1502740696164;1227.8783031395544;-0.6415513152044241;1260.0774967457487;1211.0551289834457;-2.537502795180899
37;95;58;153;Ce;-54910.0;200.0;8.134;1.0;6659;201.0;152;142463.68815473389;0.2002712322997999;0;0;1244.502;8.131240076816397;1244.0797317529086;0.0027599231836035;0.4222682470913241;142464.05368777804;142463.63141953095;0.0567352029320318;-54909.7144261271;-0.2855738728976575;8.133629181680233;0.0003708183197677;0.2408745598992669;142434.65662319792;142434.29109015377;-0.3655330441542901;142434.19480457986;0.09628557390533388;1253.485;1234.617827;-0.9011729999999716;1266.39712;1219.929;-2.677879999999732;1253.2946853099406;1234.1999398714852;-0.6648383243914395;1265.4987083770409;1220.1633661768742;-2.497388951902167
35;94;59;153;Pr;-61568.463;11.882;8.172036;0.078;5761.834;12.19;152;142457.02939894126;0.0118812072929486;0;0;1250.321508;8.169589226939403;1249.9471517217287;0.0024467730605977;0.374356278271307;142457.4039212067;142457.0295649284;-0.0001659871486481;-61568.47021872885;0.0072187288460554;8.172037084883282;-1.084883281876614e-06;0.251147965655723;142427.50613108164;142427.1316088162;-0.3745222654251847;142426.84257903494;0.2890297812700737;1260.311045;1239.390031;-0.9419400000001588;1270.27088;1227.485493;-2.886643000000049;1260.0774967457487;1239.1282763726672;-0.6885303250414836;1269.5583202038167;1227.8783031395544;-2.457680100086236
33;93;60;153;Nd;-67330.297;2.747;8.204582;0.018;3317.527;9.355;152;142451.2675648487;0.0027460446177665;0;0;1255.301046;8.198936759272215;1254.437324168649;0.0056452407277856;0.8637218313510857;142452.13140215716;142451.2676803258;-0.0001154771016445;-67330.30431129015;0.0073112901445711;8.20458275475235;-7.547523495077257e-07;0.2616876023281217;142421.73315271808;142420.86931540965;-0.8638373084540945;142420.72461972092;0.14469568873755634;1266.39712;1242.7710720000002;-1.4338999999997668;1272.739565;1234.617827;-3.244699999999966;1265.4987083770409;1242.6633126431;-0.7126273171570574;1272.256332226077;1234.1999398714852;-2.418376239735835
31;92;61;153;Pm;-70647.824;9.066;8.221152;0.059;1911.862;9.093;152;142447.95003648888;0.009065300617403;0;0;1257.836256;8.219282673814822;1257.5502490936678;0.0018693261851776;0.2860069063322044;142448.23613062955;142447.95012372322;-8.723433711566031e-05;-70647.83267110666;0.0086711066687712;8.221152570159129;-5.70159128798764e-07;0.2724968105814297;142417.33769144805;142417.05159730738;-0.2860941406688653;142417.00472997848;0.046867328899679706;1270.27088;1244.43177;-0.9698620000001483;1273.5844700000002;1239.390031;-2.6980109999999513;1269.5583202038167;1244.805048682784;-0.7371293007349777;1273.5927444438205;1239.1282763726672;-2.379477370848008
29;91;62;153;Sm;-72559.686;1.219;8.228534;0.008;807.536;0.708;152;142446.03817558032;0.0012193257817694;0;0;1258.965702;8.230626970567233;1259.2859264967867;-0.002092970567233;-0.32022449678675;142445.71810662386;142446.03833112065;-0.0001555403287056;-72559.69357968525;0.0075796852470375;8.228535016603368;-1.0166033685976572e-06;0.2835789870608625;142414.31975066813;142414.6398196246;0.3200689564691856;142414.45661320427;0.18320642033359036;1272.739565;1244.839621;-0.3522179999997661;1273.053905;1242.7710720000002;-2.1064269999997123;1272.256332226077;1245.5534844917188;-0.7620362757777457;1273.567556857048;1242.6633126431;-2.340983493425483
27;90;63;153;Eu;-73367.222;1.33;8.228699;0.009;-484.671;0.717;152;142445.23063912298;0.0013301735801121;0;0;1258.990947;8.232969649529444;1259.6443563780049;-0.0042706495294435;-0.6534093780048806;142444.57733014005;142445.23073951804;-0.0001003950601443;-73367.23003700755;0.0080370075593236;8.228699656176948;-6.561769474444645e-07;0.2949375864193932;142412.679333833;142413.33264281592;0.653308982931776;142413.48017285296;-0.14753003703663126;1273.5844700000002;1244.133847;-0.26357699999971373;1271.45167;1244.43177;-2.0984540000001743;1273.5927444438205;1244.9086200699046;-0.7873482422846791;1272.1807694657596;1244.805048682784;-2.3028946074662144
25;89;64;153;Gd;-72882.551;1.203;8.220418;0.008;-1569.213;3.845;152;142445.71531040902;0.0012025588879025;0;0;1257.723954;8.226310710701455;1258.6255387373226;-0.0058927107014543;-0.901584737322537;142444.81380117816;142445.71538591548;-7.55064538680017e-05;-72882.55875098331;0.0077509833063231;8.220418493506145;-4.935061443944733e-07;0.3065761233373353;142412.41644445734;142413.3179536882;0.9015092308691236;142412.9586124392;0.3593412490154151;1273.053905;1242.887493;0.4934899999998379;1268.57487;1244.839621;-2.0334170000000995;1273.567556857048;1242.8704554173414;-0.8130652002557781;1269.4323822699548;1245.5534844917188;-2.265210712971566
