N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;A2;atomic_mass;atomic_mass_unc;delta;delta_I4;bind_ene_total;bind_ene_teo;bind_ene_teo_total;Diff_bind_ene;Diff_bind_ene_total;atomic_mass_teo;atomic_mass_calc;Diff_atomic_mass;mass_excess_calc;Diff_mass_excess;bind_ene_calc;Diff_bind_ene_calcs;B_e;M_N_teo;M_N_exp;Diff_nuclear_mass
18;57;39;96;Y;-78335.895;6.088;8.569488;0.063;7102.951;6.087;95;89345.09805369923;0.0060873139678102005;1;-1;822.670848;8.581673812982048;823.8406860462767;-0.01218581298204846;-1.169838046276709;89343.92828114681;89345.09811919309;-6.54938630759716e-05;-78335.90342077715;0.00842077714332845;8.56948868222768;-6.822276805706906e-07;0.09216027452163608;89324.09148234443;89325.26125489685;1.169772552413633
16;56;40;96;Zr;-85438.846;0.114;8.635327;0.001;163.971;0.100;95;89337.99510190233;0.00011364228065383998;-1;1;828.991392;8.643864285455754;829.8109714037523;-0.008537285455753718;-0.8195794037523001;89337.17564918676;89337.99522859052;-0.00012668818817473948;-85438.85521767459;0.009217674582032487;8.635328319668588;-1.3196685877403525e-06;0.09795082862197252;89316.83364198779;89317.65309470336;0.8194527155719697
14;55;41;96;Nb;-85602.816;0.147;8.628886;0.002;3192.059;0.107;95;89337.83113099526;0.00014624457428404;1;-1;828.3730559999999;8.641019586277995;829.5378802826875;-0.012133586277995434;-1.1648242826876185;89336.66639370525;89337.83121798794;-8.699268801137805e-05;-85602.82612474455;0.010124744541826658;8.628886906173799;-9.061737991089558e-07;0.10395197947498747;89315.81938870643;89316.98412599643;1.1647372900042683
12;54;42;96;Mo;-88794.876;0.120;8.653986999999999;0.001;-2973.242;5.145;95;89334.63907116522;0.00011923124527616;-1;1;830.7827519999998;8.659674744750765;831.3287754960734;-0.005687744750765944;-0.5460234960735306;89334.09315188928;89334.63917538535;-0.00010422013292554766;-88794.88595477637;0.009954776367521845;8.653988085626375;-1.0856263763514562e-06;0.11016640990872416;89312.7413623702;89313.28728164615;0.5459192759444704
10;53;43;96;Tc;-85821.634;5.146;8.614866;0.054;258.738;5.146;95;89337.61231371533;0.00514557342894928;1;-1;827.0271359999999;8.613294731572072;826.8762942309189;0.0015712684279272082;0.150841769081012;89337.76328655184;89337.61244478276;-0.00013106742699164897;-85821.64340466562;0.009404665615875274;8.614867365285741;-1.3652857422385978e-06;0.11659681669254933;89315.90692848885;89315.75595565235;-0.15097283650538884
8;52;44;96;Ru;-86080.372;0.170;8.609412;0.002;-6392.654;10.000;95;89337.35357539264;0.00016953192687704;-1;1;826.5035520000001;8.588414576043908;824.4877993002151;0.02099742395609283;2.0157526997850255;89339.36943487996;89337.35368218018;-0.00010678754188120365;-86080.38172736042;0.009727360418764874;8.609413112370172;-1.1123701710857858e-06;0.12324591305406975;89317.00872696265;89314.99286747533;-2.015859487320995
6;51;45;96;Rh;-79687.718;10.001;8.534673000000002;0.104;-3504.312;10.844;95;89343.74622940167;0.01000145219164164;1;-1;819.3286080000001;8.49849924886428;815.8559278909709;0.0361737511357223;3.472680109029284;89347.21895968664;89343.74627957761;-5.017593502998352e-05;-79687.72771832054;0.009718320550746284;8.53467352266595;-5.226659478552165e-07;0.13011643114154953;89324.35412333673;89320.88139305176;-3.4727302849642
4;50;46;96;Pd;-76183.406;4.194;8.490020000000001;0.044;-11671.771;90.181;95;89347.25054189067;0.004193586454947439;-1;1;815.0419200000001;8.430083779335183;809.2880428161775;0.05993622066481841;5.753877183822624;89353.00449815886;89347.25062097503;-7.908436236903071e-05;-76183.4152293353;0.009229335293639451;8.490020823795476;-8.237954745027309e-07;0.13721112443705802;89329.63575755156;89323.88180128337;-5.753956268192269
25;61;36;97;Kr;-47423.492;130.409;8.269864;1.344;11095.645;130.423;96;90307.50456332279;0.13040917452079998;0;0;802.176808;8.29348487105858;804.4680324926821;-0.02362087105857924;-2.2912244926820904;90305.21339622371;90307.5046207164;-5.739361222367734e-05;-47423.49751721804;0.00551721804367844;8.269864591686764;-5.916867635846756e-07;0.07602551897768679;90286.89345951786;90289.18462661693;2.2911670990724815
23;60;37;97;Rb;-58519.137;1.912;8.376186;0.020;10062.317;3.888;96;90296.4089166783;0.00191142590083344;0;0;812.490042;8.405613750179599;815.3445337674211;-0.029427750179598533;-2.854491767421109;90293.5545483464;90296.40904011381;-0.00012343551497906446;-58519.144161702985;0.007161702982557472;8.376187272531133;-1.272531132912036e-06;0.08120027944291754;90274.72878745031;90277.58315578221;2.854368331900332
21;59;38;97;Sr;-68581.454;3.385;8.471855999999999;0.035;7539.969;7.521;96;90286.34659879892;0.0033841180788147596;0;0;821.7700319999999;8.496401039489783;824.1509008305089;-0.024545039489783704;-2.38086883050903;90283.96583468071;90286.34670351123;-0.00010471230780240148;-68581.46204108796;0.008041087960009463;8.471857079508332;-1.0795083333903222e-06;0.08657764570999019;90264.6344522002;90267.01521631841;2.380764118206571
19;58;39;97;Y;-76121.424;6.719;8.541522;0.069;6821.237;6.707;96;90278.80662909131;0.006718866970132359;0;0;828.527634;8.565846738989132;830.8871336819458;-0.024324738989131234;-2.359499681945749;90276.44725522671;90278.80675490866;-0.0001258173433598131;-76121.43174868649;0.007748686490231194;8.541523297085996;-1.297085995943803e-06;0.09216027452163608;90256.61045642433;90258.96983028893;2.359373864601366
17;57;40;97;Zr;-82942.661;0.414;8.603779000000001;0.004;2663.115;4.248;96;90271.98539091919;0.00041358338205168;0;0;834.5665630000001;8.613950848677645;835.5532323217316;-0.010171848677643425;-0.9866693217314833;90270.99880998435;90271.98547930608;-8.838689245749265e-05;-82942.66992080954;0.00892080954508856;8.60377991120508;-9.112050793902426e-07;0.09795082862197252;90250.65680278538;90251.64338372022;0.9865809348411858
15;56;41;97;Nb;-85605.776;4.249;8.623168;0.044;1938.915;4.248;96;90269.32227535849;0.00424854460706692;0;0;836.4472959999999;8.640713368555325;838.1491967498665;-0.01754536855532507;-1.7019007498665815;90267.62049895362;90269.3223997035;-0.0001243450096808374;-85605.78548150872;0.009481508721364662;8.6231692819073;-1.2819073003100812e-06;0.10395197947498747;90246.7734939548;90248.47527035966;1.701776404865086
13;55;42;97;Mo;-87544.691;0.165;8.635092;0.002;-320.266;4.117;96;90267.38336013515;0.00016394296225471998;0;0;837.603924;8.646134298622169;838.6750269663504;-0.011042298622168545;-1.071102966350395;90266.31232213456;90267.38342510091;-6.496575952041894e-05;-87544.70070485037;0.009704850366688333;8.635092669750051;-6.697500509744714e-07;0.11016640990872416;90244.96053261549;90246.03157061608;1.0710380005912157
11;54;43;97;Tc;-87224.424;4.118;8.623725;0.042;-1103.873;4.956;96;90267.7036264379;0.0041172039384424;0;0;836.5013250000001;8.630213638878178;837.1307229711833;-0.006488638878177966;-0.6293979711832662;90267.07427952715;90267.70367749833;-5.1060429541394114e-05;-87224.4344020983;0.010402098298072815;8.62372552639623;-5.263962297163971e-07;0.11659681669254933;90245.21792146417;90245.84726837491;0.6293469107476994
9;53;44;97;Ru;-86120.552;2.763;8.604279;0.028;-3523.000;35.355;96;90268.80749911447;0.0027618800175297996;0;0;834.615063;8.592951389323352;833.5162847643651;0.011327610676648447;1.0987782356348816;90269.90637113138;90268.80759289574;-9.378127288073301e-05;-86120.56172553624;0.009725536248879507;8.604279966817295;-9.668172946675213e-07;0.12324591305406975;90247.54566321407;90246.44679119716;-1.0988720169116277
7;52;45;97;Rh;-82597.552;35.463;8.559894;0.366;-4791.709;35.792;96;90272.33050016967;0.035462912022724113;0;0;830.309718;8.534347549957692;827.8317123458961;0.02554645004230771;2.4780056541038675;90274.80859694727;90272.33059129317;-9.112349653150886e-05;-82597.56067032737;0.00867032737005502;8.559894939417532;-9.394175322086085e-07;0.13011643114154953;90251.94376059737;90249.46566381976;-2.4780967776023317
