N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;atomic_mass;atomic_mass_unc;delta;bind_ene_teo;Diff_bind_ene;Delta_2n;Delta_2p
31;97;66;163;Dy;-66380.858;0.693;8.161783999999999;0.0043;-2.8309;0.0222;928737.221;0.744;0;8.381922850475856;-0.22013885047585724;-0.006350399999998757;-0.016439799999997007
29;96;67;163;Ho;-66378.027;0.693;8.156967;0.0043;-1210.6141;4.5755;928740.260;0.744;0;8.388121334289306;-0.23115433428930565;-0.003861499999999296;-0.0139042000000007
27;95;68;163;Er;-65167.413;4.628;8.1447403;0.0284;-2439.0000;3.0000;930039.908;4.967;0;8.385851747883796;-0.2411114478837959;-0.003683000000000547;-0.011331400000001324
25;94;69;163;Tm;-62728.413;5.515;8.1249774;0.0338;-3434.5345;16.0687;932658.282;5.920;0;8.375114091259329;-0.25013669125932836;-0.003915300000000954;-0.010095400000000865
23;93;70;163;Yb;-59293.878;15.105;8.099106899999999;0.0927;-4502.4636;31.7657;936345.406;16.215;0;8.355908364415903;-0.25680146441590423;-0.0029877999999978755;-0.009478199999998438
21;92;71;163;Lu;-54791.415;27.945;8.0666848;0.1714;-5522.0944;37.9611;941179.000;30.000;0;8.328234567353514;-0.26154976735351276;-0.0038415000000018296;-0.009824300000001784
19;91;72;163;Hf;-49269.320;25.693;8.0280072;0.1576;-6734.6864;45.9217;947107.211;27.582;0;8.292092700072171;-0.2640855000721718;-0.004017099999998663;-0.009657899999998776
17;90;73;163;Ta;-42534.634;38.061;7.9818905;0.2335;-7626.1952;69.7301;954337.194;40.860;0;8.247482762571865;-0.2655922625718645;-0.003276300000001342;-0.009478800000001009
15;89;74;163;W;-34908.439;58.426;7.9303042999999995;0.3584;-8906.1859;61.2953;962524.251;62.722;0;8.1944047548526;-0.2641004548526009;-0.0036381999999992587;-0.008484099999998662
13;88;75;163;Re;-26002.253;18.534;7.8708655;0.1137;-9666;301;972085.434;19.897;0;8.132858676914378;-0.26199317691437773;-0.003881699999999988;-0.008281000000000205
11;87;76;163;Os;-16336;300;7.807;2;-11026;500;982462;322;0;8.062844528757195;-0.2558445287571942;-0.0060000000000011156;-0.010000000000000675
9;86;77;163;Ir;-5310;400;7.734;2;*;;994299;429;0;7.984362310381054;-0.25036231038105417;;
42;103;61;164;Pm;-38360;400;8.014;2;9565;400;958819;429;1;8.194052585754202;-0.18005258575420235;;
40;102;62;164;Sm;-47925.314;4.099;8.0677803;0.0250;5306.8315;4.5907;948550.061;4.400;-1;8.255749154857854;-0.18796885485785353;-0.00498610000000177;-0.016334600000002197
38;101;63;164;Eu;-53232.146;2.068;8.0953686;0.0126;6461.5416;2.2969;942852.943;2.219;1;8.287743574132248;-0.1923749741322478;-0.005177900000001401;-0.016514200000001367
36;100;64;164;Gd;-59693.688;1.000;8.1299978;0.0061;2411.2959;2.1143;935916.193;1.073;-1;8.33269794438598;-0.2027001443859806;-0.003732300000001132;-0.015141800000000316
