N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;A2;atomic_mass;atomic_mass_unc;bind_ene_total;delta;bind_ene_teo;bind_ene_teo_total;Diff_bind_ene
0;22;22;44;Ti;-37548.569;0.700;8.533520000000001;0.016;-13432.189;181.643;43;959689.951;0.751;375.47488000000004;-1;8.598295410560315;378.32499806465387;-0.06477541056031377
-2;21;23;44;V;-24116.380;181.641;8.210462999999999;4.128;-10756;351;43;974110.000;195.000;361.26037199999996;1;8.282413920963473;364.4262125223928;-0.07195092096347366
-4;20;24;44;Cr;-13360;300;7.948;7;-20390;583;43;985657;322;349.712;-1;8.015663602259766;352.68919849942966;-0.0676636022597652
-6;19;25;44;Mn;7030;500;7.467;11;*;;44;007547;537;328.548;1;7.4910510854245596;329.60624775868064;-0.024051085424559915
17;31;14;45;Si;37490;700;6.995;16;21890;860;45;040247;751;314.775;0;6.5358524731400625;294.1133612913028;0.45914752685993765
15;30;15;45;P;15600;500;7.464;11;19589;1150;45;016747;537;335.88;0;7.149507032049628;321.72781644223323;0.31449296795037274
13;29;16;45;S;-3989.589;1035.356;7.881807;23.008;14272.954;1044.271;44;995717.000;1111.500;354.681315;0;7.663260372799698;344.8467167759864;0.21854662720030227
11;28;17;45;Cl;-18262.543;136.163;8.181598;3.026;11508.254;136.164;44;980394.353;146.177;368.17190999999997;0;8.077112495390274;363.4700622925623;0.10448550460972506
9;27;18;45;Ar;-29770.796;0.512;8.419951999999999;0.011;6844.841;0.731;44;968039.733;0.550;378.8978399999999;0;8.391063399821359;377.59785299196113;0.02888860017863948
7;26;19;45;K;-36615.638;0.522;8.554674;0.012;4196.536;0.637;44;960691.493;0.560;384.96033;0;8.605113086092949;387.2300888741827;-0.05043908609294867
5;25;20;45;Ca;-40812.174;0.366;8.630545;0.008;259.722;0.747;44;956186.326;0.392;388.374525;0;8.719261554205044;392.36676993922697;-0.08871655420504432
3;24;21;45;Sc;-41071.896;0.675;8.618931;0.015;-2062.056;0.509;44;955907.503;0.724;387.851895;0;8.733508804157648;393.00789618709416;-0.11457780415764773
1;23;22;45;Ti;-39009.840;0.845;8.555722;0.019;-7123.824;0.214;44;958121.211;0.907;385.00748999999996;0;8.647854835950755;389.153467617784;-0.09213283595075517
-1;22;23;45;V;-31886.016;0.872;8.380029;0.019;-12371.217;35.408;44;965768.951;0.935;377.101305;0;8.46229964958437;380.80348423129664;-0.08227064958436969
-3;21;24;45;Cr;-19514.799;35.397;8.087728;0.787;-14265;401;44;979050.000;38.000;363.94776;0;8.176843245058492;367.95794602763215;-0.08911524505849222
-5;20;25;45;Mn;-5250;400;7.753;9;-19012;565;44;994364;429;348.885;0;7.791485622373118;350.61685300679034;-0.038485622373118034
-7;19;26;45;Fe;13762;400;7.313;9;*;;45;014774;429;329.085;0;7.306226781528254;328.78020516877143;0.006773218471745501
16;31;15;46;P;22970;700;7.317;15;22630;860;46;024659;751;336.582;1;6.948930391797362;319.65079802267866;0.3680696082026378
14;30;16;46;S;340;500;7.792;11;14199;542;46;000365;537;358.432;-1;7.554437936202375;347.5041450653093;0.23756206379762457
12;29;17;46;Cl;-13859.398;208.661;8.08348;4.536;15913.528;208.664;45;985121.323;224.006;371.84008;1;7.920628443960547;364.34890842218516;0.16285155603945256
10;28;18;46;Ar;-29772.926;1.118;8.412419;0.024;5640.997;1.333;45;968037.446;1.200;386.971274;-1;8.334693203582283;383.39588736478504;0.07772579641771671
