N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;atomic_mass;atomic_mass_unc;bind_ene_total;delta;bind_ene_teo;bind_ene_teo_total;Diff_bind_ene
28;89;61;150;Pm;-73597.336;20.031;8.2438125;0.1335;3454.0000;20.0000;920990.014;21.504;1236.571875;1;8.459916859529715;1268.9875289294573;-0.21610435952971407
26;88;62;150;Sm;-77051.336;1.112;8.261623499999999;0.0074;-2258.9662;6.1803;917281.993;1.193;1239.2435249999999;-1;8.481612135372153;1272.241820305823;-0.21998863537215385
24;87;63;150;Eu;-74792.369;6.231;8.2413481;0.0415;971.6815;3.5428;919707.092;6.688;1236.202215;1;8.46901626769783;1270.3524401546745;-0.22766816769783027
22;86;64;150;Gd;-75764.051;6.055;8.2426103;0.0404;-4658.2621;8.3784;918663.949;6.500;1236.3915450000002;-1;8.470901318940827;1270.635197841124;-0.22829101894082626
20;85;65;150;Tb;-71105.789;7.371;8.2063396;0.0491;-1796.1707;8.3886;923664.799;7.912;1230.95094;1;8.438495226667067;1265.77428400006;-0.23215562666706724
18;84;66;150;Dy;-69309.618;4.319;8.189149500000001;0.0288;-7363.7264;14.4629;925593.068;4.636;1228.3724250000002;-1;8.420570053310627;1263.085507996594;-0.23142055331062572
16;83;67;150;Ho;-61945.892;14.168;8.1348423;0.0945;-4114.5689;13.5910;933498.353;15.209;1220.226345;1;8.368353736437427;1255.253060465614;-0.23351143643742667
14;82;68;150;Er;-57831.323;17.194;8.1021962;0.1146;-11340;196;937915.524;18.458;1215.32943;-1;8.330618338481548;1249.5927507722322;-0.22842213848154813
12;81;69;150;Tm;-46491;196;8.021;1;-7661;358;950090;210;1203.15;1;8.258591797008908;1238.7887695513361;-0.23759179700890698
10;80;70;150;Yb;-38830;300;7.965;2;-14059;424;958314;322;1194.75;-1;8.201046174453591;1230.1569261680386;-0.2360461744535911
8;79;71;150;Lu;-24771;300;7.866;2;*;;973407;322;1179.8999999999999;1;8.109209408381512;1216.3814112572268;-0.24320940838151195
41;96;55;151;Cs;-34280;500;8.013;3;10660;640;963199;537;1209.963;0;8.170069023500549;1233.6804225485828;-0.15706902350054897
39;95;56;151;Ba;-44940;400;8.079;3;8370;591;951755;429;1219.929;0;8.241759263359686;1244.5056487673126;-0.1627592633596855
37;94;57;151;La;-53310.339;435.473;8.1290436;2.8839;7914.7191;435.8330;942769.000;467.500;1227.4855836;0;8.30366789427171;1253.8538520350282;-0.17462429427171067
35;93;58;151;Ce;-61225.058;17.698;8.1762779;0.1172;5554.6233;21.1885;934272.200;19.000;1234.6179629;0;8.355794916236624;1261.7250323517303;-0.1795170162366233
33;92;59;151;Pr;-66779.681;11.650;8.2078824;0.0772;4163.5021;11.6789;928309.066;12.506;1239.3902424;0;8.398140329254424;1268.119189717418;-0.19025792925442353
31;91;60;151;Nd;-70943.183;1.133;8.2302741;0.0075;2443.0767;4.4734;923839.363;1.215;1242.7713891;0;8.430704133325113;1273.036324132092;-0.20043003332511233
29;90;61;151;Pm;-73386.260;4.611;8.2412723;0.0305;1190.2198;4.4757;921216.613;4.949;1244.4321173;0;8.45348632844869;1276.4764355957523;-0.21221402844868997
27;89;62;151;Sm;-74576.480;1.110;8.2439735;0.0074;76.6182;0.5375;919938.859;1.191;1244.8399984999999;0;8.466486914625158;1278.4395241083987;-0.2225134146251584
25;88;63;151;Eu;-74653.098;1.166;8.239299800000001;0.0077;-464.1779;2.7791;919856.606;1.251;1244.1342698;0;8.46970589185451;1278.925589670031;-0.23040609185450833
23;87;64;151;Gd;-74188.920;2.993;8.231044599999999;0.0198;-2565.3796;3.7615;920354.922;3.212;1242.8877346;0;8.463143260136752;1277.9346322806496;-0.23209866013675295
21;86;65;151;Tb;-71623.541;4.094;8.2088743;0.0271;-2871.1525;4.9455;923108.970;4.395;1239.5400193;0;8.446799019471882;1275.4666519402542;-0.23792471947188254
19;85;66;151;Dy;-68752.388;3.247;8.1846789;0.0215;-5129.6421;8.7507;926191.279;3.486;1235.8865139;0;8.420673169859901;1271.521648648845;-0.23599426985990135
17;84;67;151;Ho;-63622.746;8.298;8.1455267;0.0550;-5356.4558;18.4420;931698.176;8.908;1229.9745317;0;8.384765711300808;1266.099622406422;-0.2392390113008087
15;83;68;151;Er;-58266.290;16.470;8.1048723;0.1091;-7494.6768;25.4292;937448.567;17.681;1223.8357173;0;8.339076643794602;1259.2005732129849;-0.23420434379460175
13;82;69;151;Tm;-50771.613;19.375;8.0500576;0.1283;-9229.2615;300.1329;945494.433;20.799;1215.5586976000002;0;8.283605967341288;1250.8245010685343;-0.23354836734128703
11;81;70;151;Yb;-41542.352;300.492;7.9837556;1.9900;-11242;425;955402.453;322.591;1205.5470956000001;0;8.218353681940858;1240.9714059730695;-0.23459808194085774
9;80;71;151;Lu;-30300;300;7.904;2;*;;967471;322;1193.504;0;8.143319787593317;1229.6412879265908;-0.23931978759331685
42;97;55;152;Cs;-29130;500;7.98;3;12480;640;968728;537;1212.96;1;8.132488227841717;1236.138210631941;-0.152488227841717
40;96;56;152;Ba;-41610;400;8.057;3;7680;500;955330;429;1224.664;-1;8.218811518028716;1249.2593507403649;-0.16181151802871518
38;95;57;152;La;-49290;300;8.102;2;9690;361;947085;322;1231.5040000000001;1;8.271568021757908;1257.278339307202;-0.16956802175790742
36;94;58;152;Ce;-58980;200;8.161;1;4778;201;936682;215;1240.472;-1;8.338570368415214;1267.4626959991124;-0.17757036841521412
34;93;59;152;Pr;-63758.070;18.537;8.1871049;0.1220;6391.5934;30.7035;931552.900;19.900;1244.4399448;1;8.372005928614719;1272.5449011494372;-0.18490102861471946
32;92;60;152;Nd;-70149.663;24.476;8.224007799999999;0.1610;1104.8050;18.5011;924691.242;26.276;1250.0491855999999;-1;8.419687331742331;1279.7924744248344;-0.1956795317423321
30;91;61;152;Pm;-71254.468;25.904;8.2261293;0.1704;3508.5089;25.8859;923505.185;27.809;1250.3716536;1;8.433801948412142;1281.9378961586456;-0.20767264841214228
28;90;62;152;Sm;-74762.977;1.016;8.2440645;0.0067;-1874.4774;0.6857;919738.646;1.090;1253.097804;-1;8.462162408010064;1286.2486860175297;-0.2180979080100638
26;89;63;152;Eu;-72888.500;1.166;8.2265854;0.0077;1818.8037;0.7002;921750.980;1.252;1250.4409807999998;1;8.456956081150183;1285.457324334828;-0.230370681150184
24;88;64;152;Gd;-74707.304;1.007;8.2334042;0.0066;-3990.0000;40.0000;919798.414;1.081;1251.4774384000002;-1;8.465995597218413;1286.8313307771987;-0.23259139721841215
22;87;65;152;Tb;-70717.304;40.013;8.2020072;0.2632;-599.3405;40.2575;924081.855;42.955;1246.7050944;1;8.441468326828838;1283.1031856779834;-0.23946112682883758
20;86;66;152;Dy;-70117.963;4.593;8.1929171;0.0302;-6513.3275;13.3176;924725.274;4.930;1245.3233992;-1;8.431186899367377;1281.5404087038414;-0.23826979936737658
18;85;67;152;Ho;-63604.636;12.528;8.1449193;0.0824;-3104.4174;9.8150;931717.618;13.449;1238.0277336;1;8.387338685448112;1274.875480188113;-0.24241938544811248
16;84;68;152;Er;-60500.218;8.830;8.1193485;0.0581;-8779.9397;54.7434;935050.347;9.478;1234.140972;-1;8.357736314456956;1270.3759197974573;-0.23838781445695645
14;83;69;152;Tm;-51720.279;54.027;8.0564387;0.3554;-5449.8923;139.6200;944476.000;58.000;1224.5786824;1;8.294567157007998;1260.7742078652157;-0.23812845700799912
12;82;70;152;Yb;-46270.386;149.708;8.0154371;0.9849;-12848;246;950326.699;160.718;1218.3464392;-1;8.245643842487153;1253.3378640580472;-0.23020674248715345
10;81;71;152;Lu;-33422;196;7.926;1;*;;964120;210;1204.752;1;8.163153741508504;1240.7993687092926;-0.23715374150850366
41;97;56;153;Ba;-36470;400;8.023;3;9590;500;960848;429;1227.519;0;8.18318940973637;1252.0279796896646;-0.16018940973637008
39;96;57;153;La;-46060;300;8.081;2;8850;361;950553;322;1236.393;0;8.250622694224184;1262.3452722163001;-0.1696226942241843
37;95;58;153;Ce;-54910;200;8.134;1;6659;201;941052;215;1244.502;0;8.308514338654923;1271.2026938142033;-0.17451433865492305
35;94;59;153;Pr;-61568.490;11.882;8.172037099999999;0.0777;5761.8901;12.1896;933903.511;12.755;1250.3216762999998;0;8.356864343028592;1278.6002444833746;-0.1848272430285931
33;93;60;153;Nd;-67330.380;2.747;8.204583199999998;0.0180;3317.6236;9.3521;927717.868;2.949;1255.3012295999997;0;8.395672707345188;1284.5379242238137;-0.1910895073451897
31;92;61;153;Pm;-70648.003;9.063;8.2211536;0.0592;1912.0559;9.0829;924156.252;9.729;1257.8365007999998;0;8.42493943160471;1289.0157330355205;-0.2037858316047103
29;91;62;153;Sm;-72560.059;1.025;8.2285373;0.0067;807.4073;0.7063;922103.576;1.100;1258.9662068999999;0;8.444664515807158;1292.0336709184953;-0.216127215807159
27;90;63;153;Eu;-73367.466;1.171;8.2287011;0.0077;-484.5225;0.7150;921236.789;1.257;1258.9912683;0;8.454847959952536;1293.5917378727381;-0.2261468599525358
25;89;64;153;Gd;-72882.944;1.002;8.220420899999999;0.0066;-1569.3340;3.8444;921756.945;1.075;1257.7243976999998;0;8.45548976404084;1293.6899338982485;-0.2350688640408407
23;88;65;153;Tb;-71313.610;3.947;8.2050504;0.0258;-2170.4134;1.9335;923441.694;4.237;1255.3727112;0;8.44658992807207;1292.3282589950268;-0.2415395280720709
21;87;66;153;Dy;-69143.197;4.001;8.185751400000001;0.0262;-4131.1229;6.1571;925771.729;4.295;1252.4199642;0;8.42814845204623;1289.506713163073;-0.24239705204622908
19;86;67;153;Ho;-65012.074;5.066;8.1536372;0.0331;-4545.3918;9.8899;930206.671;5.438;1247.5064916000001;0;8.400165335963315;1285.2252964023871;-0.2465281359633149
17;85;68;153;Er;-60466.682;9.285;8.1188154;0.0607;-6494.0723;12.8812;935086.350;9.967;1242.1787562000002;0;8.36264057982333;1279.4840087129694;-0.24382517982332885
15;84;69;153;Tm;-53972.610;11.979;8.0712571;0.0783;-6813;201;942058.023;12.860;1234.9023363000001;0;8.315574183626271;1272.2828500948194;-0.24431708362627091
13;83;70;153;Yb;-47160;200;8.022;1;-8784;250;949372;215;1227.366;0;8.258966147372139;1263.6218205479372;-0.23696614737213828
11;82;71;153;Lu;-38375.462;150.017;7.9590882;0.9805;-11075;335;958802.248;161.050;1217.7404946;0;8.192816471060933;1253.5009200723227;-0.23372827106093297
9;81;72;153;Hf;-27300;300;7.882;2;*;;970692;322;1205.946;0;8.117125154692657;1241.9201486679765;-0.23512515469265693
42;98;56;154;Ba;-32920;500;8.001;3;8610;583;964659;537;1232.154;-1;8.158718673160392;1256.4426756667003;-0.15771867316039234
40;97;57;154;La;-41530;300;8.051;2;10690;361;955416;322;1239.854;1;8.217079402927075;1265.4302280507695;-0.16607940292707468
38;96;58;154;Ce;-52220;200;8.116;1;5640;224;943940;215;1249.864;-1;8.289457200212157;1276.576408832672;-0.17345720021215705
36;95;59;154;Pr;-57859.602;100.005;8.1472994;0.6494;7720.0000;100.0000;937885.165;107.360;1254.6841075999998;1;8.328967819835981;1282.661044254741;-0.18166841983598125
34;94;60;154;Nd;-65579.602;1.025;8.1923491;0.0067;2687.0000;25.0000;929597.404;1.100;1261.6217614;-1;8.382495506978202;1290.904308074643;-0.19014640697820262
32;93;61;154;Pm;-68266.602;25.021;8.204717;0.1625;4188.9614;25.0550;926712.791;26.861;1263.5264180000001;1;8.403156016459164;1294.0860265347112;-0.1984390164591634
30;92;62;154;Sm;-72455.564;1.305;8.2268379;0.0085;-717.1969;1.1019;922215.756;1.400;1266.9330366;-1;8.437833593458524;1299.4263733926127;-0.21099569345852487
28;91;63;154;Eu;-71738.367;1.188;8.2171006;0.0077;1967.9913;0.7535;922985.699;1.275;1265.4334924;1;8.439643992796627;1299.7051748906806;-0.22254339279662716
26;90;64;154;Gd;-73706.358;0.994;8.2247996;0.0065;-3549.6514;45.2983;920872.974;1.066;1266.6191384;-1;8.455471459653126;1302.1426047865814;-0.23067185965312476
24;89;65;154;Tb;-70156.707;45.309;8.196669700000001;0.2942;237.3080;45.9008;924683.681;48.641;1262.2871338000002;1;8.438431748848368;1299.5184893226487;-0.24176204884836672
22;88;66;154;Dy;-70394.015;7.431;8.193130499999999;0.0483;-5754.6363;10.1785;924428.920;7.977;1261.7420969999998;-1;8.435409105562009;1299.0530022565495;-0.24227860556201009
20;87;67;154;Ho;-64639.378;8.216;8.1506825;0.0534;-2034.4045;9.4621;930606.776;8.820;1255.205105;1;8.39951928461439;1293.525969830616;-0.24883678461439018
18;86;68;154;Er;-62604.974;4.961;8.1323919;0.0322;-8177.8316;14.9113;932790.799;5.325;1252.3883526;-1;8.377646531185169;1290.157565802516;-0.2452546311851691
16;85;69;154;Tm;-54427.142;14.412;8.074209;0.0936;-4495.0495;13.9528;941570.062;15.471;1243.4281859999999;1;8.32290660009469;1281.7276164145824;-0.24869760009469033
14;84;70;154;Yb;-49932.093;17.281;8.0399402;0.1122;-10265;201;946395.696;18.551;1238.1507908;-1;8.28218373652261;1275.4562954244818;-0.24224353652260966
12;83;71;154;Lu;-39667;201;7.968;1;-6937;361;957416;216;1227.072;1;8.20859369528927;1264.1234290745476;-0.24059369528927022
10;82;72;154;Hf;-32730;300;7.918;2;*;;964863;322;1219.372;-1;8.149020721574328;1254.9491911224463;-0.2310207215743274
41;98;57;155;La;-37930;400;8.028;3;9850;500;959280;429;1244.3400000000001;0;8.19453253300406;1270.1525426156293;-0.1665325330040588
39;97;58;155;Ce;-47780;300;8.087;2;7635;300;948706;322;1253.485;0;8.257879264756946;1279.9712860373265;-0.17087926475694637
37;96;59;155;Pr;-55415.335;17.198;8.1310398;0.1110;6868.4609;19.4725;940509.193;18.462;1260.311169;0;8.311915336585196;1288.3468771707053;-0.18087553658519617
35;95;60;155;Nd;-62283.796;9.154;8.170305;0.0591;4656.2095;10.2781;933135.598;9.826;1266.397275;0;8.356640748488813;1295.279316015766;-0.18633574848881196
33;94;61;155;Pm;-66940.006;4.719;8.1952977;0.0304;3251.1999;4.9024;928136.951;5.065;1270.2711434999999;0;8.392055500467794;1300.7686025725081;-0.196757800467795
31;93;62;155;Sm;-70191.206;1.332;8.2112258;0.0086;1627.1314;1.2016;924646.645;1.429;1272.739999;0;8.418159592522143;1304.814736840932;-0.20693379252214328
29;92;63;155;Eu;-71818.337;1.252;8.216676;0.0081;251.9612;0.8682;922899.847;1.343;1273.58478;0;8.434953024651856;1307.4177188210376;-0.21827702465185617
27;91;64;155;Gd;-72070.298;0.983;8.2132541;0.0063;-819.8588;9.7884;922629.356;1.055;1273.0543855;0;8.442435796856936;1308.577548512825;-0.22918169685693535
25;90;65;155;Tb;-71250.439;9.830;8.2029173;0.0634;-2094.5000;1.8974;923509.511;10.552;1271.4521814999998;0;8.440607909137382;1308.2942259162942;-0.23769060913738294
23;89;66;155;Dy;-69155.939;9.645;8.184357;0.0622;-3116.1405;16.5887;925758.049;10.354;1268.575335;0;8.429469361493192;1306.5677510314447;-0.2451123614931916
21;88;67;155;Ho;-66039.799;17.470;8.1592055;0.1127;-3830.6268;18.4730;929103.363;18.754;1264.6768525;0;8.409020153924368;1303.3981238582771;-0.24981465392436775
19;87;68;155;Er;-62209.172;6.074;8.1294444;0.0392;-5583.2509;11.5109;933215.710;6.520;1260.0638820000001;0;8.379260286430911;1298.7853443967913;-0.2498158864309108
17;86;69;155;Tm;-56625.921;9.921;8.088376;0.0640;-6123.3072;19.3388;939209.576;10.651;1253.69828;0;8.340189759012821;1292.7294126469874;-0.2518137590128209
15;85;70;155;Yb;-50502.614;16.600;8.0438234;0.1071;-7957.5578;25.4153;945783.216;17.820;1246.792627;0;8.291808571670092;1285.2303286088643;-0.24798517167009138
13;84;71;155;Lu;-42545.056;19.245;7.9874369;0.1242;-8235;301;954326.005;20.660;1238.0527195;0;8.234116724402734;1276.2880922824238;-0.24667982440273395
11;83;72;155;Hf;-34310;300;7.929;2;-10322;424;963167;322;1228.9950000000001;0;8.16711421721074;1265.9027036676646;-0.23811421721073955
9;82;73;155;Ta;-23988;300;7.858;2;*;;974248;322;1217.99;0;8.090801050094111;1254.0741627645873;-0.23280105009411134
42;99;57;156;La;-33050;400;7.997;3;11769;500;964519;429;1247.532;1;8.159687041061023;1272.9111784055196;-0.16268704106102305
40;98;58;156;Ce;-44820;300;8.068;2;6630;300;951884;322;1258.608;-1;8.23714724315191;1284.9949699316978;-0.16914724315190988
38;97;59;156;Pr;-51449.307;1.025;8.1052337;0.0066;8752.8229;1.6585;944766.900;1.100;1264.4164572;1;8.28241628516505;1292.0569404857479;-0.1771825851650508
36;96;60;156;Nd;-60202.130;1.304;8.1563265;0.0084;3964.7175;1.7642;935370.358;1.400;1272.386934;-1;8.341479688193187;1301.2708313581372;-0.18515318819318693
34;95;61;156;Pm;-64166.847;1.188;8.1767263;0.0076;5193.8878;8.6044;931114.059;1.275;1275.5693028;1;8.368351931143575;1305.4629012583978;-0.1916256311435749
32;94;62;156;Sm;-69360.735;8.522;8.2050054;0.0546;722.1090;7.9025;925538.191;9.148;1279.9808423999998;-1;8.409018535108961;1311.8068914769979;-0.20401313510896202
30;93;63;156;Eu;-70082.844;3.532;8.2046192;0.0226;2452.4891;3.4083;924762.976;3.791;1279.9205952;1;8.4174939789966;1313.1290607234696;-0.2128747789965999
28;92;64;156;Gd;-72535.333;0.983;8.2153253;0.0063;-2444.3230;3.6774;922130.120;1.054;1281.5907468;-1;8.439763783899233;1316.6031502882804;-0.22443848389923282
26;91;65;156;Tb;-70091.010;3.768;8.1946415;0.0242;438.3762;3.6789;924754.209;4.044;1278.3640739999998;1;8.429842428724122;1315.055418880963;-0.23520092872412235
24;90;66;156;Dy;-70529.386;0.988;8.1924366;0.0063;-4990.9836;38.4111;924283.593;1.060;1278.0201096;-1;8.433715434564004;1315.6596077919846;-0.24127883456400312
22;89;67;156;Ho;-65538.403;38.424;8.155428;0.2463;-1326.7201;45.6391;929641.634;41.249;1272.246768;1;8.40539728032614;1311.2419757308778;-0.2499692803261393
20;88;68;156;Er;-64211.683;24.629;8.1419084;0.1579;-7377.2657;26.7099;931065.926;26.440;1270.1377104;-1;8.390873487103272;1308.9762639881105;-0.24896508710327225
18;87;69;156;Tm;-56834.417;14.279;8.089603199999999;0.0915;-3568.8794;12.5484;938985.746;15.328;1261.9780991999999;1;8.344158533802657;1301.6887312732144;-0.25455533380265827
16;86;70;156;Yb;-53265.538;9.308;8.061710699999999;0.0597;-9565.9880;54.9162;942817.096;9.992;1257.6268691999999;-1;8.311237941517037;1296.5531188766577;-0.24952724151703798
14;85;71;156;Lu;-43699.550;54.122;7.995375200000001;0.3469;-5880.0352;139.6908;953086.606;58.102;1247.2785312;1;8.246126189153673;1286.395685507973;-0.2507509891536719
12;84;72;156;Hf;-37819.514;149.740;7.9526676;0.9599;-11819;335;959399.083;160.752;1240.6161456;-1;8.194808797805303;1278.3901724576272;-0.24214119780530297
10;83;73;156;Ta;-26001;300;7.872;2;*;;972087;322;1228.032;1;8.111300246379185;1265.362838435153;-0.23930024637918557
43;100;57;157;La;-29070;300;7.972;2;10860;500;968792;322;1251.604;0;8.135681355299493;1277.3019727820204;-0.16368135529949246
41;99;58;157;Ce;-39930;400;8.037;3;8504;400;957133;429;1261.8090000000002;0;8.20419147700664;1288.0580618900426;-0.1671914770066394
39;98;59;157;Pr;-48434.806;3.167;8.085817;0.0202;8059.3109;3.8207;948003.100;3.400;1269.473269;0;8.26361337817743;1297.3873003738565;-0.17779637817742966
37;97;60;157;Nd;-56494.117;2.137;8.1321671;0.0136;5802.9994;7.3246;939351.074;2.294;1276.7502347;0;8.313947058811863;1305.2896882334624;-0.18177995881186249
35;96;61;157;Pm;-62297.116;7.006;8.1641458;0.0446;4380.5376;8.2650;933121.298;7.521;1281.7708906;0;8.355192518909934;1311.7652254688596;-0.1910467189099343
33;95;62;157;Sm;-66677.654;4.434;8.1870642;0.0282;2781.4807;6.1191;928418.598;4.759;1285.3690794;0;8.387349758471647;1316.8139120800486;-0.20028555847164675
31;94;63;157;Eu;-69459.134;4.234;8.1997975;0.0270;1364.7614;4.1973;925432.556;4.545;1287.3682075000002;0;8.410418777497002;1320.4357480670292;-0.2106212774970011
29;93;64;157;Gd;-70823.896;0.977;8.2035072;0.0062;-60.0473;0.2972;923967.424;1.048;1287.9506304000001;0;8.424399575986;1322.630733429802;-0.22089237598599887
27;92;65;157;Tb;-70763.848;1.018;8.198141600000001;0.0065;-1339.1791;5.1297;924031.888;1.092;1287.1082312000003;0;8.429292153938636;1323.3988681683659;-0.23115055393863493
25;91;66;157;Dy;-69424.669;5.154;8.184628700000001;0.0328;-2591.8068;23.7839;925469.555;5.532;1284.9867059;0;8.425096511354916;1322.7401522827217;-0.24046781135491457
23;90;67;157;Ho;-66832.862;23.469;8.1631373;0.1495;-3419.2146;33.6675;928251.974;25.194;1281.6125561000001;0;8.411812648234836;1320.6545857728693;-0.24867534823483517
21;89;68;157;Er;-63413.648;26.505;8.1363757;0.1688;-4704.3690;38.5152;931922.652;28.454;1277.4109849000001;0;8.389440564578399;1317.1421686388087;-0.2530648645783984
19;88;69;157;Tm;-58709.279;27.945;8.1014285;0.1780;-5289.3667;29.9971;936973.000;30.000;1271.9242745000001;0;8.357980260385602;1312.2029008805396;-0.25655176038560157
17;87;70;157;Yb;-53419.912;10.905;8.0627551;0.0695;-6980.0942;14.2406;942651.368;11.706;1265.8525507000002;0;8.317431735656447;1305.8367824980621;-0.2546766356564465
15;86;71;157;Lu;-46439.818;12.074;8.0133128;0.0769;-7585;201;950144.807;12.961;1258.0901096;0;8.267794990390932;1298.0438134913763;-0.25448219039093267
13;85;72;157;Hf;-38855;200;7.96;1;-9259;250;958288;215;1249.72;0;8.209070024589058;1288.8239938604822;-0.24907002458905847
11;84;73;157;Ta;-29595.948;150.052;7.8960608;0.9557;-9906;427;968227.445;161.087;1239.6815456;0;8.141256838250827;1278.1773236053798;-0.24519603825082736
9;83;74;157;W;-19690;400;7.828;3;*;;978862;429;1228.996;0;8.064355431376237;1266.1038027260693;-0.2363554313762366
42;100;58;158;Ce;-36540;400;8.015;3;7610;500;960773;429;1266.3700000000001;-1;8.18192995083905;1292.74493223257;-0.16692995083904982
40;99;59;158;Pr;-44150;300;8.059;2;9685;300;952603;322;1273.322;1;8.23265876809182;1300.7600853585077;-0.1736587680918209
38;98;60;158;Nd;-53835.123;1.304;8.1149529;0.0083;5271.0196;1.5776;942205.620;1.400;1282.1625582000001;-1;8.296965087722526;1310.920483860159;-0.1820121877225258
36;97;61;158;Pm;-59106.143;0.888;8.1433622;0.0056;6145.7062;4.8634;936546.948;0.953;1286.6512276;1;8.329733762476648;1316.0979344713105;-0.18637156247664777
34;96;62;158;Sm;-65251.849;4.782;8.1773075;0.0303;2018.6123;5.1146;929949.262;5.133;1292.014585;-1;8.376079939608708;1323.4206304581758;-0.1987724396087085
32;95;63;158;Eu;-67270.461;2.032;8.185132;0.0129;3419.5081;2.2547;927782.192;2.181;1293.2508559999999;1;8.390888471864177;1325.7603785545398;-0.20575647186417712
30;94;64;158;Gd;-70689.969;0.976;8.2018229;0.0062;-1219.0862;0.9799;924111.200;1.048;1295.8880182;-1;8.419274506497587;1330.2453720266187;-0.21745160649758688
28;93;65;158;Tb;-69470.883;1.268;8.1891556;0.0080;936.2686;2.4750;925419.942;1.360;1293.8865847999998;1;8.416122896254407;1329.7474176081964;-0.2269672962544078
26;92;66;158;Dy;-70407.152;2.337;8.1901298;0.0148;-4219.7555;27.0048;924414.817;2.509;1294.0405084;-1;8.426548788389168;1331.3947085654886;-0.2364189883891683
24;91;67;158;Ho;-66187.396;27.106;8.158470900000001;0.1716;-883.5812;37.0236;928944.910;29.099;1289.0384022;1;8.405437035647338;1328.0590516322795;-0.24696613564733738
22;90;68;158;Er;-65303.815;25.219;8.147927;0.1596;-6600.6151;31.3411;929893.474;27.074;1287.3724659999998;-1;8.397902785283451;1326.8686400747852;-0.24997578528345166
20;89;69;158;Tm;-58703.200;25.219;8.1011994;0.1596;-2693.5796;26.4499;936979.525;27.074;1279.9895052000002;1;8.358830890042974;1320.6952806267898;-0.25763149004297325
18;88;70;158;Yb;-56009.620;7.973;8.079199899999999;0.0505;-8797.4201;16.8655;939871.202;8.559;1276.5135841999997;-1;8.333336497180433;1316.6671665545084;-0.2541365971804339
16;87;71;158;Lu;-47212.200;15.125;8.0185685;0.0957;-5109.8010;14.9373;949315.620;16.236;1266.933823;1;8.276304459441308;1307.6561045917267;-0.2577359594413071
14;86;72;158;Hf;-42102.399;17.494;7.9812764;0.1107;-10984;201;954801.217;18.780;1261.0416711999999;-1;8.232849924080117;1300.7902880046586;-0.25157352408011757
12;85;73;158;Ta;-31118;201;7.907;1;-7426;361;966593;215;1249.306;1;8.15785774384234;1288.9415235270899;-0.2508577438423405
10;84;74;158;W;-23693;300;7.855;2;*;;974565;322;1241.0900000000001;-1;8.096443065982502;1279.2380044252352;-0.24144306598250154
43;101;58;159;Ce;-31340;500;7.983;3;9430;640;966355;537;1269.297;0;8.147728954117254;1295.4889037046432;-0.16472895411725386
41;100;59;159;Pr;-40770;400;8.037;3;8954;401;956232;429;1277.883;0;8.212253510259245;1305.74830813122;-0.1752535102592443
39;99;60;159;Nd;-49724.007;29.808;8.0888224;0.1875;6830.3441;31.4529;946619.085;32.000;1286.1227615999999;0;8.267904164818328;1314.5967622061141;-0.17908176481832783
37;98;61;159;Pm;-56554.351;10.039;8.1268601;0.0631;5653.4982;11.6438;939286.409;10.777;1292.1707559;0;8.314680917794501;1322.0342659293256;-0.18782081779450088
35;97;62;159;Sm;-62207.849;5.934;8.1574963;0.0373;3835.5363;7.3211;933217.130;6.370;1297.0419117;0;8.352583769187769;1328.0608193008552;-0.19508746918776865
33;96;63;159;Eu;-66043.386;4.320;8.1766987;0.0272;2518.4717;4.3657;929099.512;4.637;1300.0950933;0;8.381612718998127;1332.6764223207022;-0.204914018998128
31;95;64;159;Gd;-68561.857;0.980;8.1876177;0.0062;970.7242;0.7495;926395.822;1.051;1301.8312143;0;8.401767767225575;1335.8810749888664;-0.2141500672255745
29;94;65;159;Tb;-69532.582;1.103;8.1888025;0.0069;-365.3613;1.1573;925353.707;1.184;1302.0195975;0;8.413048913870115;1337.6747773053482;-0.2242464138701159
27;93;66;159;Dy;-69167.220;1.439;8.1815842;0.0091;-1837.6000;2.6833;925745.938;1.544;1300.8718878;0;8.415456158931747;1338.0575292701478;-0.23387195893174706
25;92;67;159;Ho;-67329.620;3.045;8.1651066;0.0192;-2768.5000;2.0000;927718.683;3.268;1298.2519494;0;8.40898950241047;1337.0293308832647;-0.24388290241047095
23;91;68;159;Er;-64561.120;3.643;8.1427742;0.0229;-3990.7162;28.1813;930690.790;3.910;1294.7010978;0;8.393648944306287;1334.5901821446996;-0.2508747443062873
21;90;69;159;Tm;-60570.404;27.945;8.1127549;0.1758;-4736.8869;33.0155;934975.000;30.000;1289.9280291;0;8.369434484619193;1330.7400830544516;-0.25667958461919227
19;89;70;159;Yb;-55833.517;17.582;8.0780428;0.1106;-6124.9081;41.5648;940060.257;18.874;1284.4088052;0;8.33634612334919;1325.479033612521;-0.25830332334918893
17;88;71;159;Lu;-49708.609;37.663;8.034600900000001;0.2369;-6856.0030;41.2456;946635.615;40.433;1277.5015431000002;0;8.294383860496279;1318.8070338189084;-0.2597829604962776
15;87;72;159;Hf;-42852.606;16.813;7.986561;0.1057;-8413.4492;25.8909;953995.837;18.049;1269.863199;0;8.243547696060459;1310.724083673613;-0.25698669606045854
13;86;73;159;Ta;-34439.157;19.689;7.9287258000000005;0.1238;-9005;301;963028.046;21.137;1260.6674022;0;8.183837630041733;1301.2301831766356;-0.25511183004173255
