N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;atomic_mass;atomic_mass_unc;bind_ene_total;delta;bind_ene_teo;bind_ene_teo_total;Diff_bind_ene
0;8;8;16;O;-4737.00217;0.00030;7.9762072;0.0002;-15412.1840;5.3642;994914.61926;0.00032;127.6193152;-1;7.6649554929464765;122.63928788714362;0.3112517070535237
1;9;8;17;O;-808.76421;0.00064;7.750729099999999;0.0002;-2760.4655;0.2479;999131.75595;0.00069;131.7623947;0;7.636319966152492;129.81743942459235;0.1144091338475075
-1;8;9;17;F;1951.701;0.248;7.542328400000001;0.0146;-14548.7507;0.4323;002095.237;0.266;128.2195828;0;7.379638627788831;125.45385667241013;0.16268977221116998
2;10;8;18;O;-782.81634;0.00064;7.7670981;0.0002;-1655.9288;0.4633;999159.61214;0.00069;139.8077658;-1;7.782061632964862;140.07710939336752;-0.014963532964862303
0;9;9;18;F;873.112;0.463;7.6316383;0.0257;-4444.5049;0.5888;000937.324;0.497;137.3694894;1;7.537316836050779;135.67170304891403;0.09432146394922025
-2;8;10;18;Ne;5317.617;0.363;7.3412577;0.0202;-19720.3745;93.8819;005708.696;0.390;132.1426386;-1;7.278387366241396;131.01097259234513;0.06287033375860407
3;11;8;19;O;3332.858;2.637;7.5664952;0.1388;4820.3029;2.6370;003577.969;2.830;143.7634088;0;7.530426460027026;143.0781027405135;0.03606873997297466
1;10;9;19;F;-1487.44512;0.00082;7.7790192;0.0002;-3239.4986;0.1601;998403.16207;0.00088;147.8013648;0;7.823250499453951;148.64175948962506;-0.04423129945395132
-1;9;10;19;Ne;1752.054;0.160;7.5673431;0.0084;-11177.3310;10.5364;001880.906;0.171;143.7795189;0;7.575911422776303;143.94231703274977;-0.008568322776302928
-3;8;11;19;Na;12929.384;10.535;6.9378864;0.5545;-18909.0095;60.9189;013880.264;11.309;131.8198416;0;6.788409229994082;128.97977536988756;0.14947717000591787
4;12;8;20;O;3796.172;0.885;7.5685707;0.0442;3813.6349;0.8854;004075.357;0.950;151.37141400000002;-1;7.477374711715231;149.54749423430462;0.09119598828476949
2;11;9;20;F;-17.463;0.030;7.7201351;0.0015;7024.4689;0.0297;999981.252;0.031;154.402702;1;7.71626093116153;154.3252186232306;0.003874168838470027
0;10;10;20;Ne;-7041.93217;0.00154;8.0322412;0.0002;-13892.4207;1.1090;992440.17525;0.00165;160.644824;-1;7.967711769676754;159.35423539353508;0.06452943032324576
-2;9;11;20;Na;6850.489;1.109;7.2985028000000005;0.0554;-10627.2054;2.1681;007354.301;1.190;145.970056;1;7.229968773340998;144.59937546681996;0.06853402665900266
-4;8;12;20;Mg;17477.694;1.863;6.7280252;0.0931;*;;018763.075;2.000;134.560504;-1;6.504790396074169;130.09580792148338;0.2232348039258314
5;13;8;21;O;8062.034;12.000;7.3893747;0.5714;8109.6390;12.1342;008654.948;12.882;155.1768687;0;7.122724330828628;149.5772109474012;0.26665036917137197
3;12;9;21;F;-47.605;1.800;7.7382934;0.0857;5684.1712;1.8004;999948.893;1.932;162.5041614;0;7.77079042040766;163.18659882856085;-0.03249702040765978
1;11;10;21;Ne;-5731.776;0.038;7.9717136;0.0018;-3546.9190;0.0177;993846.685;0.041;167.4059856;0;7.975211624166858;167.479444107504;-0.0034980241668574052
-1;10;11;21;Na;-2184.857;0.042;7.7655581;0.0020;-13088.7080;0.7557;997654.459;0.045;163.0767201;0;7.735987942106222;162.45574678423066;0.029570157893777704
-3;9;12;21;Mg;10903.851;0.755;7.1050317;0.0359;-16186;600;011705.764;0.810;149.2056657;0;7.0531193742257505;148.11550685874076;0.05191232577424909
-5;8;13;21;Al;27090;600;6.297;29;*;;029082;644;132.237;0;5.926605920525448;124.45872433103442;0.3703940794745515
6;14;8;22;O;9283.032;56.921;7.3648722;2.5873;6489.6562;58.2558;009965.744;61.107;162.0271884;-1;6.966745912656091;153.268410078434;0.3981262873439091
4;13;9;22;F;2793.376;12.399;7.6242954;0.5636;10818.0916;12.3990;002998.812;13.310;167.7344988;1;7.526336212436461;165.57939667360213;0.09795918756353927
2;12;10;22;Ne;-8024.716;0.018;8.0804656;0.0008;-2843.3243;0.1325;991385.113;0.018;177.7702432;-1;8.115196648204803;178.53432626050565;-0.03473104820480266
0;11;11;22;Na;-5181.391;0.132;7.9156624;0.0060;-4781.4051;0.1631;994437.547;0.141;174.14457280000002;1;7.865018847894627;173.0304146536818;0.05064355210537386
-2;10;12;22;Mg;-399.986;0.159;7.662764500000001;0.0072;-18601;401;999570.597;0.170;168.58081900000002;-1;7.644111183572421;168.17044603859327;0.018653316427579725
-4;9;13;22;Al;18201;401;6.782;18;-15439;641;019540;430;149.204;1;6.584165283171699;144.85163622977737;0.197834716828301
-6;8;14;22;Si;33640;500;6.044;23;*;;036114;537;132.968;-1;5.553489518758945;122.17676941269679;0.49051048124105456
7;15;8;23;O;14621.371;121.712;7.1634856;5.2918;11336.1072;126.1904;015696.686;130.663;164.7601688;0;6.570356289424249;151.11819465675774;0.5931293105757502
5;14;9;23;F;3285.263;33.320;7.622344699999999;1.4487;8439.3084;33.3206;003526.875;35.770;175.3139281;0;7.451372091205364;171.38155809772337;0.17097260879463505
3;13;10;23;Ne;-5154.045;0.104;7.9552561;0.0045;4375.8085;0.1044;994466.905;0.112;182.9708903;0;7.961356503937709;183.1111995905673;-0.0061004039377090535
1;12;11;23;Na;-9529.85352;0.00181;8.1114936;0.0002;-4056.1790;0.0317;989769.28195;0.00194;186.5643528;0;8.100309527621285;186.30711913528955;0.01118407237871466
-1;11;12;23;Mg;-5473.675;0.032;7.901122900000001;0.0014;-12221.7457;0.3461;994123.768;0.034;181.72582670000003;0;7.868231162256092;180.9693167318901;0.032891737743908855
-3;10;13;23;Al;6748.071;0.345;7.3357275;0.0150;-17202;500;007244.351;0.370;168.7217325;0;7.26512140784213;167.097792380369;0.07060609215787039
-5;9;14;23;Si;23950;500;6.554;22;*;;025711;537;150.74200000000002;0;6.290980264379399;144.69254608072617;0.26301973562060166
8;16;8;24;O;18500.404;164.874;7.039685499999999;6.8698;10955.8885;191.6327;019861.000;177.000;168.952452;-1;6.363066574926926;152.71359779824624;0.6766189250730728
6;15;9;24;F;7544.516;97.670;7.4635831;4.0696;13496.1583;97.6717;008099.370;104.853;179.1259944;1;7.138255285942107;171.31812686261057;0.3253278140578928
4;14;10;24;Ne;-5951.642;0.513;7.9933252;0.0214;2466.2583;0.5130;993610.649;0.550;191.8398048;-1;7.953186077456696;190.8764658589607;0.04013912254330432
2;13;11;24;Na;-8417.901;0.017;8.0634882;0.0007;5515.6774;0.0210;990963.012;0.017;193.5237168;1;8.045795473938146;193.0990913745155;0.017692726061854458
0;12;12;24;Mg;-13933.578;0.013;8.260710300000001;0.0006;-13884.7660;0.2282;985041.689;0.013;198.25704720000004;-1;8.178146950919006;196.27552682205612;0.08256334908099561
-2;11;13;24;Al;-48.812;0.228;7.6495806;0.0095;-10793.9978;19.4734;999947.598;0.244;183.5899344;1;7.588177032866727;182.11624878880144;0.06140356713327311
-4;10;14;24;Si;10745.186;19.472;7.1672329;0.8113;-23275;501;011535.430;20.904;172.0135896;-1;7.037949195313857;168.91078068753257;0.12928370468614325
-6;9;15;24;P;34020;500;6.165;21;*;;036522;537;147.96;1;5.765399962727849;138.36959910546838;0.3996000372721511
9;17;8;25;O;27329.030;165.084;6.7278058000000005;6.6034;15994.8633;191.1909;029338.919;177.225;168.19514500000002;0;5.9569329632623;148.9233240815575;0.7708728367377002
7;16;9;25;F;11334.167;96.442;7.3363065;3.8577;13369.6698;100.7212;012167.727;103.535;183.40766250000001;0;6.9912855222885995;174.78213805721498;0.3450209777114006
5;15;10;25;Ne;-2035.503;29.045;7.8397993999999995;1.1618;7322.3107;29.0701;997814.797;31.181;195.99498499999999;0;7.710620735317994;192.76551838294984;0.1291786646820059
3;14;11;25;Na;-9357.814;1.200;8.1013979;0.0480;3834.9684;1.2009;989953.974;1.288;202.53494750000002;0;8.114938602350481;202.87346505876204;-0.013540702350480771
1;13;12;25;Mg;-13192.782;0.047;8.2235028;0.0019;-4276.8080;0.0447;985836.966;0.050;205.58757;0;8.204239123386063;205.10597808465158;0.01926367661393691
-1;12;13;25;Al;-8915.974;0.065;8.0211366;0.0026;-12743.2956;10.0002;990428.308;0.069;200.528415;0;7.978522298424739;199.46305746061847;0.04261430157526114
-3;11;14;25;Si;3827.322;10.000;7.4801109;0.4000;-16363;400;004108.798;10.735;187.0027725;0;7.43778812746651;185.94470318666274;0.04232277253349004
-5;10;15;25;P;20190;400;6.794;16;*;;021675;429;169.85;0;6.5820366105113735;164.55091526278434;0.21196338948862614
10;18;8;26;O;34661.041;164.950;6.497479;6.3442;15986.3855;196.6301;037210.155;177.081;168.93445400000002;-1;5.726910639605827;148.8996766297515;0.7705683603941731
8;17;9;26;F;18674.655;107.027;7.0822497;4.1164;18193.5414;108.6022;020048.065;114.898;184.1384922;1;6.647784820281462;172.842405327318;0.4344648797185382
6;16;10;26;Ne;481.114;18.429;7.751911;0.7088;7341.8940;18.7585;000516.496;19.784;201.549686;-1;7.614888658809051;197.98710512903534;0.13702234119094836
4;15;11;26;Na;-6860.780;3.502;8.0042013;0.1347;9353.7631;3.5018;992634.649;3.759;208.1092338;1;7.952375781789318;206.76177032652225;0.051825518210682375
2;14;12;26;Mg;-16214.544;0.029;8.3338711;0.0011;-4004.4042;0.0629;982592.972;0.031;216.68064859999998;-1;8.336092562621541;216.73840662816008;-0.002221462621541548
0;13;13;26;Al;-12210.139;0.066;8.1497653;0.0026;-5069.1361;0.0849;986891.876;0.071;211.89389780000002;1;8.090192627906438;210.3450083255674;0.05957267209356232
-2;12;14;26;Si;-7141.003;0.108;7.9247083;0.0041;-18114;196;992333.818;0.115;206.0424158;-1;7.890522351043292;205.1535811271256;0.03418594895670779
-4;11;15;26;P;10973;196;7.198;8;-16707;631;011780;210;187.14800000000002;1;7.061235358632822;183.59211932445336;0.13676464136717836
-6;10;16;26;S;27680;600;6.525;23;*;;029716;644;169.65;-1;6.2781780240743075;163.232628625932;0.24682197592569288
11;19;8;27;O;44670;500;6.185;19;19536;514;047955;537;166.99499999999998;0;5.327764060356656;143.8496296296297;0.8572359396433438
9;18;9;27;F;25133.478;120.198;6.8796662;4.4518;18082.5680;150.6211;026981.897;129.037;185.75098739999999;0;6.462222222222225;174.48000000000008;0.41744397777777476
7;17;10;27;Ne;7050.910;90.770;7.5204151;3.3619;12568.7005;90.8467;007569.462;97.445;203.0512077;0;7.325788751714681;197.7962962962964;0.19462634828531922
5;16;11;27;Na;-5517.791;3.726;7.9569467000000005;0.1380;9068.8037;3.7266;994076.408;4.000;214.8375609;0;7.918463648834023;213.79851851851862;0.0384830511659775
3;15;12;27;Mg;-14586.594;0.047;8.2638525;0.0018;2610.2694;0.0669;984340.647;0.050;223.1240175;0;8.24024691358025;222.48666666666676;0.02360558641974997
1;14;13;27;Al;-17196.864;0.047;8.3315533;0.0018;-4812.3583;0.0964;981538.408;0.050;224.95193909999998;0;8.291138545953364;223.86074074074085;0.04041475404663508
-1;13;14;27;Si;-12384.505;0.107;8.124342;0.0040;-11725.4730;9.0013;986704.687;0.115;219.357234;0;8.071138545953364;217.92074074074083;0.05320345404663662
-3;12;15;27;P;-659.032;9.001;7.6610894;0.3334;-18150;400;999292.499;9.662;206.8494138;0;7.58024691358025;204.66666666666677;0.08084248641974945
-5;11;16;27;S;17491;400;6.96;15;*;;018777;430;187.92;0;6.818463648834023;184.09851851851863;0.14153635116597663
12;20;8;28;O;52080;699;5.988;25;18676;709;055910;750;167.66400000000002;-1;5.091071504226091;142.55000211833053;0.8969284957739099
