N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;A2;atomic_mass;atomic_mass_unc;delta;delta_I4;bind_ene_total;bind_ene_teo;bind_ene_teo_total;Diff_bind_ene;Diff_bind_ene_total;atomic_mass_teo;atomic_mass_calc;Diff_atomic_mass;mass_excess_calc;Diff_mass_excess;bind_ene_calc;Diff_bind_ene_calcs;B_e;M_N_teo;M_N_exp;Diff_nuclear_mass;M_N_ws4;WS4_diff;bind_ene_total_;prediction_i3;difference_i3;prediction_i4;difference_i4
29;80;51;131;Sb;-81981.412;2.084;8.392552499999999;0.0159;3229.6099;2.0845;130;121943.746175534;0.0020828208159179;0;0;1099.4243774999998;8.319734232471156;1089.8851844537214;0.0728182675288433;9.539193046278342;121953.28538382406;121943.74619077778;-1.5243771485984324e-05;-81981.41178599831;-0.0002140016877092;8.39255261636472;-1.1636472052600769e-07;0.1761453794546671;121927.40058271831;121917.86137442828;-9.539208290050738;121918.10718621429;-0.2458117859932826;1099.4243774999998;1098.906005859375;0.518371640624764;1099.158935546875;0.26544195312476404
27;79;52;131;Te;-85211.022;0.061;8.4112339;0.0005;2231.7057;0.6077;130;121940.51656531366;6.05471167418e-05;0;0;1101.8716409;8.358355298294061;1094.944544076522;0.0528786017059381;6.927096823477996;121947.44367759682;121940.51658077334;-1.5459678252227604e-05;-85211.02200633545;6.335452781058848e-06;8.411234018012845;-1.1801284571788528e-07;0.184644435472131;121921.05637659642;121914.12926431326;-6.927112283156021;121914.28108631958;-0.1518220063153421;1101.8716409;1102.0086669921875;-0.1370260921873978;1101.9271240234375;-0.05548312343739781
25;78;53;131;I;-87442.727;0.605;8.4222977;0.0046;970.8477;0.6046;130;121938.28485913768;0.0006045396733142;0;0;1103.3209987;8.384914251854724;1098.423766992969;0.0373834481452757;4.897231707031096;121943.18210807593;121938.2848763689;-1.7231228412128985e-05;-87442.7281823361;0.0011823360982816;8.422297831536103;-1.3153610289862172e-07;0.1933877327385067;121916.2925514221;121911.39530248384;-4.89724893825769;121911.88353066618;-0.4882281823374796;1103.3209987;1103.470703125;-0.1497044249999817;1103.2266845703125;0.09431412968751829
23;77;54;131;Xe;-88413.57492;0.00512;8.4237367;0.0003;-358.0009;0.1771;130;121937.31401227706;5.1139026294228e-06;0;0;1103.5095077;8.399411093153152;1100.3228532030628;0.0243256068468475;3.1866544969370807;121940.50067526138;121937.31402076445;-8.487390005029738e-06;-88413.57504294388;0.000122943878523;8.423736764789242;-6.478924241548611e-08;0.2023782777170466;121913.10911020184;121909.92244721753;-3.186662984327995;121910.24592226048;-0.3234750429401174;1103.5095077;1103.4659423828125;0.043565317187585606;1103.4906005859375;0.018907114062585606
21;76;55;131;Cs;-88055.574;0.177;8.4150317;0.0014;-1376.6158;0.4515;130;121937.67201239993;0.0001769838797067;0;0;1102.3691527;8.401845822189337;1100.6418027068032;0.0131858778106632;1.7273499931968672;121939.3993791532;121937.67202916;-1.6760066500864923e-05;-88055.57492006893;0.0009200689382851;8.415031827939474;-1.2793947412603757e-07;0.2116191183447138;121911.5060559836;121909.77868923033;-1.727366753271781;121910.0362641504;-0.2575749200623249;1102.3691527;1102.4515380859375;-0.08238538593741396;1102.37744140625;-0.008288706249913957
19;75;56;131;Ba;-86678.958;0.415;8.3985511;0.0032;-2909.6936;27.9479;130;121939.04862841307;0.0004145148761553;0;0;1100.2101941;8.392218438963283;1099.38061550419;0.0063326610367173;0.8295785958100623;121939.87821975138;121939.04864115558;-1.274250098504126e-05;-86678.95890691913;0.0009069191291928;8.398551197271;-9.727100014345069e-08;0.2211133461472647;121911.4833918589;121910.6538005206;-0.8295913383044535;121910.55775942752;0.0960410930711077;1100.2101941;1100.3834228515625;-0.17322875156241935;1100.1583251953125;0.05186890468758065
17;74;57;131;La;-83769.265;27.945;8.3703676;0.2133;-4060.8167;43.0918;130;121941.95832257243;0.0279448231115999;0;0;1096.5181556;8.370528943474989;1096.5392915952236;-0.0001613434749891;-0.0211359952236307;121941.93719705589;121941.95833305112;-1.047865953296423e-05;-83769.26474754856;-0.0002524514420656;8.370367679989787;-7.998978723833261e-08;0.2308640983376405;121913.04112096487;121913.06224648144;0.0211255165631882;121913.082311229;-0.020064747572178;1096.5181556;1096.6485595703125;-0.13040397031249995;1096.469482421875;0.04867317812500005
15;73;58;131;Ce;-79708.448;32.802;8.3333969;0.2504;-5407.7842;55.4462;130;121946.01913851532;0.032801633368396;0;0;1091.6749939;8.336777335724454;1092.1178309799036;-0.0033804357244537;-0.4428370799034837;121945.57631106678;121946.01914814668;-9.63135971687734e-06;-79708.4488046812;0.000804681199952;8.33339697352183;-7.352183040154614e-08;0.2408745598992669;121916.17924648664;121916.62207393518;0.4428274485399015;121916.65182273988;-0.0297488046926446;1091.6749939;1091.950439453125;-0.27544555312510965;1091.733154296875;-0.058160396875109655
13;72;59;131;Pr;-74300.664;46.995;8.286143899999999;0.3587;-6532.6235;53.0809;130;121951.426922877;0.0469948090267777;0;0;1085.4848509;8.290963615711684;1086.1162336582306;-0.0048197157116849;-0.6313827582307567;121950.795561784;121951.42694454224;-2.166522608604282e-05;-74300.66444300138;0.0004430013796081;8.286144065383407;-1.6538340830152265e-07;0.251147965655723;121920.89777165891;121921.52913275194;0.6313610930083087;121921.52509719496;0.004035556979943;1085.4848509;1085.8004150390625;-0.31556413906241687;1085.531005859375;-0.04615495937491687
11;71;60;131;Nd;-67768.04;27.517;8.2303045;0.2101;-7998;202.0;130;121957.95954691604;0.0275172673179925;0;0;1078.1698895000002;8.23308778343667;1078.5344996302038;-0.0027832834366687;-0.3646101302035731;121957.5949492076;121957.9595593378;-1.2421762221492829e-05;-67768.04040397485;0.0004039748600916;8.230304594822618;-9.482261731363908e-08;0.2616876023281217;121927.19669976852;121927.56129747696;0.364597708437941;121927.58153788092;-0.0202404039591783;1078.1698895000002;1078.2838134765625;-0.11392397656231878;1078.24169921875;-0.07180971874981878
